"",BBK01.OEAC60L,BBK01.OEAC60L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:10,
2002-01,3.053,
2002-04,3.017,
2002-07,2.914,
2002-10,2.882,
2003-01,2.891,
2003-04,2.811,
2003-07,2.921,
2003-10,2.856,
2004-01,2.839,
2004-04,2.816,
2004-07,2.775,
2004-10,2.710,
2005-01,2.611,
2005-04,2.552,
2005-07,2.447,
2005-10,2.579,
2006-01,2.557,
2006-04,2.512,
2006-07,2.485,
2006-10,2.423,
2007-01,2.397,
2007-04,2.485,
2007-07,2.632,
2007-10,2.698,
2008-01,2.628,
2008-04,2.595,
2008-07,2.589,
2008-10,2.575,
2009-01,2.509,
2009-04,2.496,
2009-07,2.532,
2009-10,2.457,
2010-01,2.262,
2010-04,2.246,
2010-07,2.403,
2010-10,2.363,
2011-01,2.321,
2011-04,2.380,
2011-07,2.343,
2011-10,2.316,
2012-01,2.282,
2012-04,2.272,
2012-07,2.217,
2012-10,2.189,
2013-01,2.088,
2013-04,2.048,
2013-07,2.044,
2013-10,2.021,
2014-01,1.998,
2014-04,1.998,
2014-07,1.894,
