"",BBK01.CEFE13,BBK01.CEFE13_FLAGS
"",short-term loans                                              debtor: Non-financial corporations creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:07,
1999-01,211.4,
1999-04,211.3,
1999-07,203.5,
1999-10,216.9,
2000-01,217.8,
2000-04,222.1,
2000-07,207.0,
2000-10,232.4,
2001-01,235.7,
2001-04,237.4,
2001-07,228.7,
2001-10,236.1,
2002-01,218.5,
2002-04,224.3,
2002-07,220.6,
2002-10,218.9,
2003-01,208.8,
2003-04,202.1,
2003-07,189.6,
2003-10,195.3,
2004-01,183.9,
2004-04,175.5,
2004-07,166.0,
2004-10,168.8,
2005-01,168.1,
2005-04,165.9,
2005-07,161.7,
2005-10,158.2,
2006-01,153.0,
2006-04,156.3,
2006-07,153.5,
2006-10,153.6,
2007-01,147.7,
2007-04,149.2,
2007-07,152.9,
2007-10,162.1,
2008-01,164.2,
2008-04,170.9,
2008-07,169.9,
2008-10,170.4,
2009-01,173.7,
2009-04,166.6,
2009-07,151.9,
2009-10,133.8,
2010-01,134.6,
2010-04,134.1,
2010-07,122.8,
2010-10,124.7,
2011-01,118.0,
2011-04,111.3,
2011-07,110.3,
2011-10,117.3,
2012-01,112.4,
2012-04,108.9,
2012-07,95.9,
2012-10,92.2,
2013-01,101.1,
2013-04,106.2,
2013-07,95.9,
2013-10,86.5,
2014-01,93.2,
2014-04,98.3,
2014-07,92.0,
