"",BBK01.OEXL08G,BBK01.OEXL08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:32,
2002-01,27.261,
2002-04,27.701,
2002-07,27.958,
2002-10,31.137,
2003-01,33.102,
2003-04,33.530,
2003-07,34.263,
2003-10,36.474,
2004-01,37.602,
2004-04,37.929,
2004-07,38.024,
2004-10,39.238,
2005-01,3.899,
2005-04,4.012,
2005-07,1.928,
2005-10,1.995,
2006-01,1.908,
2006-04,1.873,
2006-07,1.770,
2006-10,1.767,
2007-01,1.752,
2007-04,1.741,
2007-07,1.802,
2007-10,1.958,
2008-01,2.001,
2008-04,1.974,
2008-07,1.928,
2008-10,1.964,
2009-01,1.937,
2009-04,1.907,
2009-07,1.991,
2009-10,2.124,
2010-01,2.139,
2010-04,2.011,
2010-07,1.964,
2010-10,1.987,
2011-01,1.964,
2011-04,1.852,
2011-07,1.865,
2011-10,1.903,
2012-01,1.884,
2012-04,1.903,
2012-07,1.917,
2012-10,1.957,
2013-01,1.896,
2013-04,1.883,
2013-07,1.904,
2013-10,1.922,
2014-01,1.907,
2014-04,1.881,
2014-07,1.840,
