"",BBK01.OEAA38L,BBK01.OEAA38L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:30,
2002-01,5.545,
2002-04,5.647,
2002-07,5.674,
2002-10,5.746,
2003-01,6.219,
2003-04,6.236,
2003-07,6.208,
2003-10,6.266,
2004-01,6.288,
2004-04,6.477,
2004-07,6.640,
2004-10,6.645,
2005-01,6.555,
2005-04,6.614,
2005-07,6.627,
2005-10,6.416,
2006-01,6.118,
2006-04,6.521,
2006-07,6.532,
2006-10,6.463,
2007-01,6.326,
2007-04,6.366,
2007-07,6.416,
2007-10,6.464,
2008-01,6.458,
2008-04,6.633,
2008-07,6.533,
2008-10,6.230,
2009-01,7.652,
2009-04,7.520,
2009-07,7.612,
2009-10,8.412,
2010-01,8.480,
2010-04,8.618,
2010-07,8.298,
2010-10,8.391,
2011-01,8.042,
2011-04,7.778,
2011-07,8.199,
2011-10,8.293,
2012-01,7.841,
2012-04,8.060,
2012-07,8.375,
2012-10,8.367,
2013-01,8.337,
2013-04,8.402,
2013-07,8.568,
2013-10,8.523,
2014-01,8.414,
2014-04,8.250,
2014-07,8.236,
