"",BBK01.OUH106,BBK01.OUH106_FLAGS
"",Domestic bank debt securities / with a maturity  of up to and including 2 years / Savings banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:49:51,
1993-12,0.788,
1994-01,0.747,
1994-02,0.627,
1994-03,0.350,
1994-04,0.438,
1994-05,0.416,
1994-06,0.422,
1994-07,0.412,
1994-08,0.454,
1994-09,0.330,
1994-10,0.397,
1994-11,0.383,
1994-12,0.468,
1995-01,0.500,
1995-02,0.427,
1995-03,0.429,
1995-04,0.418,
1995-05,0.414,
1995-06,0.429,
1995-07,0.447,
1995-08,0.552,
1995-09,0.705,
1995-10,0.849,
1995-11,0.847,
1995-12,0.950,
1996-01,0.730,
1996-02,0.568,
1996-03,0.716,
1996-04,0.485,
1996-05,0.479,
1996-06,0.551,
1996-07,0.542,
1996-08,0.631,
1996-09,0.436,
1996-10,0.502,
1996-11,0.516,
1996-12,0.459,
1997-01,0.390,
1997-02,0.211,
1997-03,0.229,
1997-04,0.347,
1997-05,0.383,
1997-06,0.356,
1997-07,0.415,
1997-08,0.431,
1997-09,0.409,
1997-10,0.406,
1997-11,0.449,
1997-12,0.284,
1998-01,0.422,
1998-02,0.445,
1998-03,0.427,
1998-04,0.427,
1998-05,0.451,
1998-06,0.483,
1998-07,0.466,
1998-08,0.465,
1998-09,0.504,
1998-10,0.448,
1998-11,0.422,
1998-12,0.497,
1999-01,1.251,
1999-02,1.577,
1999-03,1.376,
1999-04,1.344,
1999-05,1.243,
1999-06,1.232,
1999-07,1.329,
1999-08,1.278,
1999-09,1.020,
1999-10,1.190,
1999-11,1.497,
1999-12,1.549,
2000-01,1.731,
2000-02,1.718,
2000-03,1.740,
2000-04,1.986,
2000-05,1.929,
2000-06,1.940,
2000-07,1.957,
2000-08,1.996,
2000-09,2.273,
2000-10,1.938,
2000-11,2.085,
2000-12,2.278,
2001-01,2.084,
2001-02,1.982,
2001-03,1.783,
2001-04,1.623,
2001-05,1.563,
2001-06,1.705,
2001-07,1.769,
2001-08,1.818,
2001-09,1.842,
2001-10,1.872,
2001-11,2.150,
2001-12,2.141,
2002-01,1.997,
2002-02,2.258,
2002-03,2.623,
2002-04,2.635,
2002-05,2.846,
2002-06,3.300,
2002-07,3.222,
2002-08,3.268,
2002-09,3.624,
2002-10,3.975,
2002-11,4.240,
2002-12,4.698,
2003-01,4.731,
2003-02,4.757,
2003-03,4.735,
2003-04,4.727,
2003-05,4.411,
2003-06,4.823,
2003-07,4.545,
2003-08,4.669,
2003-09,4.339,
2003-10,4.516,
2003-11,4.729,
2003-12,4.599,
2004-01,4.211,
2004-02,4.086,
2004-03,4.205,
2004-04,3.880,
2004-05,3.932,
2004-06,3.538,
2004-07,3.629,
2004-08,3.639,
2004-09,3.536,
2004-10,3.748,
2004-11,3.694,
2004-12,3.711,
2005-01,3.407,
2005-02,3.818,
2005-03,3.696,
2005-04,3.682,
2005-05,3.701,
2005-06,3.418,
2005-07,3.404,
2005-08,3.162,
2005-09,2.977,
2005-10,3.001,
2005-11,2.813,
2005-12,2.942,
2006-01,2.904,
2006-02,3.016,
2006-03,2.732,
2006-04,2.716,
2006-05,2.864,
2006-06,2.827,
2006-07,2.877,
2006-08,3.052,
2006-09,3.237,
2006-10,3.544,
2006-11,4.184,
2006-12,5.116,
2007-01,5.245,
2007-02,5.863,
2007-03,6.502,
2007-04,7.375,
2007-05,7.614,
2007-06,7.934,
2007-07,8.741,
2007-08,8.841,
2007-09,9.143,
2007-10,9.460,
2007-11,9.640,
2007-12,9.534,
2008-01,10.202,
2008-02,10.246,
2008-03,10.627,
2008-04,11.768,
2008-05,13.414,
2008-06,19.530,
2008-07,20.993,
2008-08,21.636,
2008-09,22.481,
2008-10,22.219,
2008-11,23.526,
2008-12,23.087,
2009-01,23.261,
2009-02,23.405,
2009-03,23.970,
2009-04,23.950,
2009-05,25.321,
2009-06,26.138,
2009-07,24.983,
2009-08,24.652,
2009-09,24.094,
2009-10,23.499,
2009-11,22.421,
2009-12,22.562,
2010-01,21.844,
2010-02,21.331,
2010-03,21.055,
2010-04,20.250,
2010-05,19.539,
2010-06,15.308,
2010-07,12.808,
2010-08,12.124,
2010-09,11.097,
2010-10,11.162,
2010-11,10.725,
2010-12,10.344,
2011-01,9.384,
2011-02,9.152,
2011-03,8.623,
2011-04,8.238,
2011-05,8.030,
2011-06,6.888,
2011-07,6.780,
2011-08,7.050,
2011-09,7.189,
2011-10,7.470,
2011-11,7.694,
2011-12,7.786,
2012-01,7.393,
2012-02,7.521,
2012-03,7.410,
2012-04,7.218,
2012-05,7.034,
2012-06,6.884,
2012-07,6.846,
2012-08,6.845,
2012-09,6.375,
2012-10,6.228,
2012-11,6.032,
2012-12,5.745,
2013-01,5.124,
2013-02,4.456,
2013-03,3.891,
2013-04,3.662,
2013-05,3.539,
2013-06,3.346,
2013-07,3.036,
2013-08,2.656,
2013-09,2.513,
2013-10,1.904,
2013-11,1.692,
2013-12,1.617,
2014-01,1.164,
2014-02,1.032,
2014-03,0.976,
2014-04,1.025,
2014-05,0.967,
2014-06,0.973,
2014-07,0.915,
2014-08,0.891,
2014-09,0.904,
2014-10,0.814,
2014-11,0.919,
2014-12,1.175,Provisional value
