"",BBEE1.Q.I8.AAA.XZE012.A.AABAN.M00,BBEE1.Q.I8.AAA.XZE012.A.AABAN.M00_FLAGS
"",Nominal effective exchange rate of the euro against the currencies of the EER-19 group,
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-12 15:35:10,
1993-01,95.9377,
1993-04,95.4163,
1993-07,92.7542,
1993-10,93.2997,
1994-01,94.4222,
1994-04,96.7169,
1994-07,99.7465,
1994-10,99.8432,
1995-01,101.5714,
1995-04,102.9988,
1995-07,104.0041,
1995-10,105.1441,
1996-01,104.8076,
1996-04,103.5078,
1996-07,105.0428,
1996-10,103.7752,
1997-01,100.4938,
1997-04,98.3182,
1997-07,95.0168,
1997-10,98.1989,
1998-01,97.3802,
1998-04,98.6302,
1998-07,100.7952,
1998-10,103.3183,
1999-01,100.0000,
1999-04,96.5180,
1999-07,95.1962,
1999-10,93.3850,
2000-01,90.1489,
2000-04,87.4553,
2000-07,86.1882,
2000-10,84.4140,
2001-01,89.3068,
2001-04,86.3135,
2001-07,87.5221,
2001-10,87.8114,
2002-01,86.9119,
2002-04,88.7437,
2002-07,91.8065,
2002-10,92.7672,
2003-01,97.2368,
2003-04,101.4411,
2003-07,101.0006,
2003-10,103.1562,
2004-01,105.5685,
2004-04,103.0018,
2004-07,103.4909,
2004-10,106.0112,
2005-01,105.6976,
2005-04,103.5281,
2005-07,101.8521,
2005-10,100.7479,
2006-01,100.9069,
2006-04,103.0533,
2006-07,103.7669,
2006-10,103.6776,
2007-01,104.4613,
2007-04,105.7957,
2007-07,106.1518,
2007-10,108.6062,
2008-01,110.0401,
2008-04,112.1333,
2008-07,109.6948,
2008-10,105.6821,
2009-01,108.8948,
2009-04,110.0706,
2009-07,111.0574,
2009-10,112.6776,
2010-01,107.6013,
2010-04,102.1460,
2010-07,101.4847,
2010-10,103.4495,
2011-01,102.7614,
2011-04,105.2462,
2011-07,103.6133,
2011-10,102.1972,
2012-01,99.5616,
2012-04,98.2718,
2012-07,95.9367,
2012-10,97.9228,
2013-01,100.7989,
2013-04,100.9092,
2013-07,101.9641,
2013-10,103.1709,
2014-01,103.9498,
2014-04,103.8514,
2014-07,101.7111,
2014-10,99.6409,
"",Source: European Central Bank: EXR.Q.E5.EUR.EN00.A,
"","Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro against the currencies of the following countries: Australia, Bulgaria, Canada, China, Croatia, Czech Republic, Denmark, Hong Kong, Hungary, Japan, Norway, Poland, Romania, Singapore, South Korea, Sweden, Switzerland, the UnitedKingdom and the United States.                       The weights used in these calculations are based on manufactured goodstrade and capture third-market effects.                            For details of the methodology see ECB, Monthly Bulletin, March 2012 as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",
