"",BBK01.OEHB24R,BBK01.OEHB24R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:04,
2002-01,0.329,
2002-04,0.320,
2002-07,0.322,
2002-10,0.331,
2003-01,0.341,
2003-04,0.344,
2003-07,0.349,
2003-10,0.352,
2004-01,0.356,
2004-04,0.364,
2004-07,0.363,
2004-10,0.366,
2005-01,0.359,
2005-04,0.354,
2005-07,0.341,
2005-10,0.346,
2006-01,0.342,
2006-04,0.342,
2006-07,0.341,
2006-10,0.337,
2007-01,0.335,
2007-04,0.333,
2007-07,0.329,
2007-10,0.351,
2008-01,0.354,
2008-04,0.361,
2008-07,0.364,
2008-10,0.373,
2009-01,0.362,
2009-04,0.366,
2009-07,0.357,
2009-10,0.346,
2010-01,0.345,
2010-04,0.340,
2010-07,0.341,
2010-10,0.327,
2011-01,0.332,
2011-04,0.337,
2011-07,0.338,
2011-10,0.353,
2012-01,0.341,
2012-04,0.353,
2012-07,0.353,
2012-10,0.353,
2013-01,0.356,
2013-04,0.345,
2013-07,0.350,
2013-10,0.367,
2014-01,0.380,
2014-04,0.375,
2014-07,0.392,
