"",BBFB1.Q.N.DE.CZ.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:46,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,-68.277,
1993-04,38.215,
1993-07,30.408,
1993-10,-47.670,
1994-01,24.586,
1994-04,58.692,
1994-07,38.876,
1994-10,156.629,
1995-01,116.117,
1995-04,228.197,
1995-07,338.931,
1995-10,203.911,
1996-01,224.631,
1996-04,140.309,
1996-07,106.472,
1996-10,313.958,
1997-01,249.702,
1997-04,-100.298,
1997-07,-70.409,
1997-10,-128.093,
1998-01,-41.556,
1998-04,189.252,
1998-07,350.881,
1998-10,235.372,
1999-01,48.337,
1999-04,96.317,
1999-07,-44.011,
1999-10,407.275,
2000-01,106.293,
2000-04,-296.919,
2000-07,86.103,
2000-10,666.966,
2001-01,-224.368,
2001-04,-46.440,
2001-07,-13.365,
2001-10,-581.770,
2002-01,221.718,
2002-04,-423.937,
2002-07,62.761,
2002-10,723.790,
2003-01,-699.452,
2003-04,20.889,
2003-07,147.678,
2003-10,891.350,
2004-01,-1164.592,
2004-04,-141.057,
2004-07,157.459,
2004-10,777.376,
2005-01,-463.654,
2005-04,-172.724,
2005-07,-0.685,
2005-10,1784.446,
2006-01,-1124.373,
2006-04,97.163,
2006-07,645.971,
2006-10,406.341,
2007-01,-381.449,
2007-04,-20.482,
2007-07,431.026,
2007-10,154.821,
2008-01,855.375,
2008-04,283.836,
2008-07,851.601,
2008-10,-164.224,
2009-01,-258.743,
2009-04,783.015,
2009-07,-679.296,
2009-10,-994.931,
2010-01,320.299,
2010-04,43.054,
2010-07,-153.962,
2010-10,108.110,
2011-01,-116.923,
2011-04,155.722,
2011-07,-111.803,
2011-10,140.408,
2012-01,-134.094,
2012-04,-492.528,
2012-07,-635.769,
2012-10,-302.422,
2013-01,297.285,
2013-04,-141.867,
2013-07,434.789,
2013-10,383.937,
2014-01,213.911,Provisional value
2014-04,528.255,Provisional value
2014-07,-188.377,Provisional value
2014-10,-442.974,Provisional value
