"",BBFB1.Q.N.DE.FR.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:22,
1991-01,9.906,
1991-04,32.639,
1991-07,25.657,
1991-10,28.871,
1992-01,-65.920,
1992-04,-115.717,
1992-07,-62.711,
1992-10,-100.621,
1993-01,53.363,
1993-04,52.703,
1993-07,53.368,
1993-10,31.996,
1994-01,-90.302,
1994-04,-122.670,
1994-07,-83.544,
1994-10,-213.521,
1995-01,-40.164,
1995-04,-142.181,
1995-07,-52.059,
1995-10,-65.374,
1996-01,-111.565,
1996-04,-227.587,
1996-07,-211.174,
1996-10,-165.857,
1997-01,1.594,
1997-04,-164.863,
1997-07,25.008,
1997-10,6.800,
1998-01,24.530,
1998-04,-114.013,
1998-07,25.614,
1998-10,-19.974,
1999-01,138.000,
1999-04,129.909,
1999-07,139.057,
1999-10,72.140,
2000-01,638.943,
2000-04,636.882,
2000-07,598.142,
2000-10,569.532,
2001-01,66.095,
2001-04,-209.649,
2001-07,-64.010,
2001-10,-18.283,
2002-01,43.532,
2002-04,-1079.034,
2002-07,-514.092,
2002-10,-35.842,
2003-01,-110.021,
2003-04,-865.771,
2003-07,8.810,
2003-10,-35.530,
2004-01,431.632,
2004-04,330.353,
2004-07,340.733,
2004-10,272.297,
2005-01,1643.823,
2005-04,1106.030,
2005-07,1217.557,
2005-10,1395.379,
2006-01,831.644,
2006-04,-243.682,
2006-07,724.574,
2006-10,273.300,
2007-01,261.168,
2007-04,-401.229,
2007-07,-1070.640,
2007-10,-1043.675,
2008-01,-1700.521,
2008-04,-63.506,
2008-07,-593.920,
2008-10,-198.459,
2009-01,-138.326,
2009-04,-977.155,
2009-07,27.966,
2009-10,197.998,
2010-01,782.606,
2010-04,-159.421,
2010-07,1072.036,
2010-10,352.504,
2011-01,649.349,
2011-04,-753.666,
2011-07,-1289.163,
2011-10,496.481,
2012-01,840.247,
2012-04,-484.002,
2012-07,741.553,
2012-10,615.453,
2013-01,828.031,
2013-04,-104.913,
2013-07,765.011,
2013-10,-797.821,
2014-01,632.088,Provisional value
2014-04,176.973,Provisional value
2014-07,770.134,Provisional value
2014-10,-1659.529,Provisional value
