"",BBK01.OEAE16O,BBK01.OEAE16O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:54,
2002-01,0.275,
2002-04,0.286,
2002-07,0.298,
2002-10,0.326,
2003-01,0.299,
2003-04,0.294,
2003-07,0.280,
2003-10,0.325,
2004-01,0.298,
2004-04,0.278,
2004-07,0.258,
2004-10,0.284,
2005-01,0.251,
2005-04,0.236,
2005-07,0.230,
2005-10,0.251,
2006-01,0.232,
2006-04,0.248,
2006-07,0.225,
2006-10,0.248,
2007-01,0.304,
2007-04,0.293,
2007-07,0.292,
2007-10,0.319,
2008-01,0.333,
2008-04,0.318,
2008-07,0.311,
2008-10,0.329,
2009-01,0.354,
2009-04,0.332,
2009-07,0.327,
2009-10,0.333,
2010-01,0.322,
2010-04,0.326,
2010-07,0.324,
2010-10,0.354,
2011-01,0.211,
2011-04,0.220,
2011-07,0.217,
2011-10,0.241,
2012-01,0.232,
2012-04,0.242,
2012-07,0.238,
2012-10,0.275,
2013-01,0.277,
2013-04,0.289,
2013-07,0.300,
2013-10,0.342,
2014-01,0.331,
2014-04,0.260,
2014-07,0.234,
