"",BBK01.OECI08K,BBK01.OECI08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:07,
2002-01,0.780,
2002-04,0.476,
2002-07,0.464,
2002-10,0.534,
2003-01,0.526,
2003-04,0.507,
2003-07,0.596,
2003-10,0.578,
2004-01,0.538,
2004-04,0.530,
2004-07,0.710,
2004-10,1.245,
2005-01,2.488,
2005-04,2.623,
2005-07,2.627,
2005-10,2.512,
2006-01,2.390,
2006-04,2.368,
2006-07,2.303,
2006-10,2.274,
2007-01,2.314,
2007-04,2.257,
2007-07,2.197,
2007-10,2.212,
2008-01,2.200,
2008-04,2.257,
2008-07,2.180,
2008-10,2.212,
2009-01,2.412,
2009-04,2.585,
2009-07,2.928,
2009-10,2.932,
2010-01,3.044,
2010-04,3.017,
2010-07,3.031,
2010-10,3.072,
2011-01,3.010,
2011-04,2.903,
2011-07,2.851,
2011-10,2.817,
2012-01,3.082,
2012-04,2.997,
2012-07,3.250,
2012-10,3.310,
2013-01,3.071,
2013-04,3.014,
2013-07,2.927,
2013-10,2.921,
2014-01,2.862,
2014-04,2.803,
2014-07,2.820,
