"",BBK01.OEAB08M,BBK01.OEAB08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:17,
2002-01,171.548,
2002-04,167.256,
2002-07,169.079,
2002-10,170.674,
2003-01,172.686,
2003-04,183.121,
2003-07,185.215,
2003-10,186.208,
2004-01,186.297,
2004-04,185.819,
2004-07,184.512,
2004-10,184.837,
2005-01,188.637,
2005-04,191.352,
2005-07,192.783,
2005-10,193.215,
2006-01,194.690,
2006-04,195.880,
2006-07,188.342,
2006-10,189.251,
2007-01,192.613,
2007-04,190.613,
2007-07,191.174,
2007-10,191.642,
2008-01,190.066,
2008-04,190.983,
2008-07,192.206,
2008-10,192.941,
2009-01,192.943,
2009-04,195.780,
2009-07,197.268,
2009-10,197.608,
2010-01,197.632,
2010-04,197.132,
2010-07,197.625,
2010-10,199.455,
2011-01,198.997,
2011-04,200.504,
2011-07,201.863,
2011-10,202.368,
2012-01,200.861,
2012-04,203.883,
2012-07,204.183,
2012-10,204.298,
2013-01,204.214,
2013-04,204.138,
2013-07,203.797,
2013-10,203.791,
2014-01,203.132,
2014-04,203.286,
2014-07,203.704,
