"",BBK01.SUD252,BBK01.SUD252_FLAGS
"",New business (volumes) of German banks / Loans to non-financial corporations over EUR 1 million with an initial rate fixation of over 3 and up to 5 years,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:47,
2010-06,1240,
2010-07,1437,
2010-08,839,
2010-09,1056,
2010-10,981,
2010-11,1093,
2010-12,2013,
2011-01,1185,
2011-02,916,
2011-03,1216,
2011-04,943,
2011-05,576,
2011-06,1589,
2011-07,1864,
2011-08,921,
2011-09,977,
2011-10,967,
2011-11,1383,
2011-12,1612,
2012-01,1085,
2012-02,977,
2012-03,1100,
2012-04,1286,
2012-05,813,
2012-06,1208,
2012-07,1487,
2012-08,708,
2012-09,600,
2012-10,1055,
2012-11,1386,
2012-12,1959,
2013-01,843,
2013-02,786,
2013-03,1133,
2013-04,869,
2013-05,649,
2013-06,1033,
2013-07,1733,
2013-08,857,
2013-09,1112,
2013-10,1980,
2013-11,595,
2013-12,1718,
2014-01,789,
2014-02,856,
2014-03,752,
2014-04,1178,
2014-05,777,
2014-06,1174,
2014-07,1466,
2014-08,1093,
2014-09,751,
2014-10,2266,
2014-11,858,
2014-12,1233,Provisional value
"",General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. The amount refers to the single loan transaction considered as new business. p = Provisional,
