"",BBK01.OXA8S6,BBK01.OXA8S6_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from domestic non-financial corporations during the reporting period - total - of which: off-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:48,
2009-12,-,Nothing exists
2010-01,0.614,
2010-02,-,Nothing exists
2010-03,0.080,
2010-04,-,Nothing exists
2010-05,-0.117,
2010-06,0.244,
2010-07,0.779,
2010-08,-0.311,
2010-09,0.105,
2010-10,2.948,
2010-11,0.465,
2010-12,-0.597,
2011-01,-0.356,
2011-02,-0.223,
2011-03,-0.106,
2011-04,0.078,
2011-05,-0.259,
2011-06,-0.323,
2011-07,0.857,
2011-08,-0.377,
2011-09,-0.494,
2011-10,-0.277,
2011-11,-0.403,
2011-12,-0.750,
2012-01,-0.462,
2012-02,-0.052,
2012-03,-0.240,
2012-04,-0.321,
2012-05,-0.409,
2012-06,0.184,
2012-07,-0.160,
2012-08,-0.445,
2012-09,0.072,
2012-10,1.244,
2012-11,-0.702,
2012-12,-0.942,
2013-01,-0.564,
2013-02,-0.517,
2013-03,-0.758,
2013-04,-0.556,
2013-05,-0.847,
2013-06,-0.611,
2013-07,-1.017,
2013-08,-0.876,
2013-09,-1.575,
2013-10,-1.373,
2013-11,-1.304,
2013-12,-1.562,
2014-01,-1.368,
2014-02,-0.402,
2014-03,-0.538,
2014-04,-0.735,
2014-05,-0.510,
2014-06,-0.827,
2014-07,-0.994,
2014-08,-1.024,
2014-09,-1.567,
2014-10,-0.616,
2014-11,-0.554,
2014-12,-0.936,Provisional value
