"",BBK01.OEAF23H,BBK01.OEAF23H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:27,
2002-01,3.878,
2002-04,3.538,
2002-07,3.475,
2002-10,3.377,
2003-01,3.279,
2003-04,3.197,
2003-07,3.225,
2003-10,3.261,
2004-01,3.218,
2004-04,3.184,
2004-07,3.185,
2004-10,3.116,
2005-01,3.048,
2005-04,3.021,
2005-07,3.011,
2005-10,2.971,
2006-01,2.878,
2006-04,2.827,
2006-07,2.789,
2006-10,2.696,
2007-01,2.634,
2007-04,2.568,
2007-07,2.526,
2007-10,2.474,
2008-01,2.382,
2008-04,2.318,
2008-07,2.252,
2008-10,2.201,
2009-01,2.152,
2009-04,2.161,
2009-07,2.210,
2009-10,2.211,
2010-01,2.261,
2010-04,2.334,
2010-07,2.400,
2010-10,2.448,
2011-01,2.440,
2011-04,2.497,
2011-07,2.584,
2011-10,2.635,
2012-01,2.650,
2012-04,2.716,
2012-07,2.775,
2012-10,2.780,
2013-01,2.785,
2013-04,2.852,
2013-07,2.905,
2013-10,2.902,
2014-01,2.866,
2014-04,2.858,
2014-07,2.898,
