"",BBK01.OEYB06L,BBK01.OEYB06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:06,
2002-01,8.613,
2002-04,7.423,
2002-07,7.108,
2002-10,7.648,
2003-01,11.103,
2003-04,9.254,
2003-07,8.811,
2003-10,9.265,
2004-01,8.260,
2004-04,7.811,
2004-07,6.941,
2004-10,8.208,
2005-01,8.192,
2005-04,7.385,
2005-07,7.189,
2005-10,8.332,
2006-01,8.196,
2006-04,8.457,
2006-07,8.115,
2006-10,8.537,
2007-01,8.297,
2007-04,8.127,
2007-07,7.827,
2007-10,9.306,
2008-01,6.609,
2008-04,7.669,
2008-07,7.202,
2008-10,7.216,
2009-01,7.591,
2009-04,6.257,
2009-07,5.135,
2009-10,4.569,
2010-01,4.716,
2010-04,4.412,
2010-07,4.286,
2010-10,4.059,
2011-01,4.136,
2011-04,3.053,
2011-07,5.440,
2011-10,3.618,
2012-01,5.048,
2012-04,4.369,
2012-07,5.852,
2012-10,5.234,
2013-01,5.086,
2013-04,4.633,
2013-07,5.064,
2013-10,5.033,
2014-01,5.165,
2014-04,5.467,
2014-07,4.136,
