"",BBFN1.M.DE.N.1.A.MX.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MX.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Mexico,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:36,
1975-12,0.009,
1976-01,0.009,
1976-02,0.010,
1976-03,0.013,
1976-04,0.019,
1976-05,0.021,
1976-06,0.021,
1976-07,0.030,
1976-08,0.031,
1976-09,0.032,
1976-10,0.035,
1976-11,0.036,
1976-12,0.035,
1977-01,0.034,
1977-02,0.035,
1977-03,0.034,
1977-04,0.033,
1977-05,0.032,
1977-06,0.032,
1977-07,0.033,
1977-08,0.034,
1977-09,0.032,
1977-10,0.033,
1977-11,0.030,
1977-12,0.031,
1978-01,0.030,
1978-02,0.028,
1978-03,0.024,
1978-04,0.019,
1978-05,0.022,
1978-06,0.024,
1978-07,0.021,
1978-08,0.021,
1978-09,0.018,
1978-10,0.018,
1978-11,0.019,
1978-12,0.021,
1979-01,0.021,
1979-02,0.024,
1979-03,0.026,
1979-04,0.028,
1979-05,0.028,
1979-06,0.027,
1979-07,0.028,
1979-08,0.028,
1979-09,0.031,
1979-10,0.028,
1979-11,0.029,
1979-12,0.033,
1980-01,0.035,
1980-02,0.042,
1980-03,0.035,
1980-04,0.030,
1980-05,0.030,
1980-06,0.030,
1980-07,0.031,
1980-08,0.030,
1980-09,0.036,
1980-10,0.034,
1980-11,0.031,
1980-12,0.044,
1981-01,0.049,
1981-02,0.071,
1981-03,0.083,
1981-04,0.070,
1981-05,0.069,
1981-06,0.054,
1981-07,0.052,
1981-08,0.053,
1981-09,0.044,
1981-10,0.047,
1981-11,0.043,
1981-12,0.025,
1982-01,0.026,
1982-02,0.026,
1982-03,0.029,
1982-04,0.029,
1982-05,0.035,
1982-06,0.036,
1982-07,0.043,
1982-08,0.040,
1982-09,0.038,
1982-10,0.042,
1982-11,0.043,
1982-12,0.040,
1983-01,0.037,
1983-02,0.037,
1983-03,0.044,
1983-04,0.040,
1983-05,0.043,
1983-06,0.042,
1983-07,0.042,
1983-08,0.040,
1983-09,0.036,
1983-10,0.036,
1983-11,0.036,
1983-12,0.152,
1984-01,0.153,
1984-02,0.100,
1984-03,0.099,
1984-04,0.097,
1984-05,0.095,
1984-06,0.026,
1984-07,0.025,
1984-08,0.027,
1984-09,0.089,
1984-10,0.025,
1984-11,0.032,
1984-12,0.026,
1985-01,0.026,
1985-02,0.025,
1985-03,0.027,
1985-04,0.025,
1985-05,0.027,
1985-06,0.026,
1985-07,0.025,
1985-08,0.029,
1985-09,0.029,
1985-10,0.036,
1985-11,0.032,
1985-12,0.051,
1986-01,0.052,
1986-02,0.038,
1986-03,0.066,
1986-04,0.064,
1986-05,0.066,
1986-06,0.064,
1986-07,0.064,
1986-08,0.067,
1986-09,0.064,
1986-10,0.067,
1986-11,0.064,
1986-12,0.064,
1987-01,0.060,
1987-02,0.037,
1987-03,0.038,
1987-04,0.037,
1987-05,0.037,
1987-06,0.039,
1987-07,0.038,
1987-08,0.037,
1987-09,0.035,
1987-10,0.035,
1987-11,0.036,
1987-12,0.028,
1988-01,0.025,
1988-02,0.025,
1988-03,0.022,
1988-04,0.021,
1988-05,0.030,
1988-06,0.026,
1988-07,0.025,
1988-08,0.025,
1988-09,0.018,
1988-10,0.021,
1988-11,0.014,
1988-12,0.022,
1989-01,0.018,
1989-02,0.019,
1989-03,0.020,
1989-04,0.018,
1989-05,0.019,
1989-06,0.016,
1989-07,0.017,
1989-08,0.017,
1989-09,0.020,
1989-10,0.020,
1989-11,0.023,
1989-12,0.023,
1990-01,0.023,
1990-02,0.084,
1990-03,0.123,
1990-04,0.033,
1990-05,0.034,
1990-06,0.034,
1990-07,0.026,
1990-08,0.028,
1990-09,0.024,
1990-10,0.025,
1990-11,0.028,
1990-12,0.020,
1991-01,0.019,
1991-02,0.024,
1991-03,0.027,
1991-04,0.052,
1991-05,0.039,
1991-06,0.037,
1991-07,0.049,
1991-08,0.048,
1991-09,0.062,
1991-10,0.054,
1991-11,0.051,
1991-12,0.033,
1992-01,0.032,
1992-02,0.037,
1992-03,0.036,
1992-04,0.043,
1992-05,0.046,
1992-06,0.039,
1992-07,0.047,
1992-08,0.045,
1992-09,0.057,
1992-10,0.062,
1992-11,0.077,
1992-12,0.106,
1993-01,0.134,
1993-02,0.169,
1993-03,0.143,
1993-04,0.145,
1993-05,0.107,
1993-06,0.097,
1993-07,0.095,
1993-08,0.095,
1993-09,0.096,
1993-10,0.117,
1993-11,0.122,
1993-12,0.146,
1994-01,0.110,
1994-02,0.100,
1994-03,0.099,
1994-04,0.095,
1994-05,0.099,
1994-06,0.096,
1994-07,0.119,
1994-08,0.126,
1994-09,0.122,
1994-10,0.124,
1994-11,0.130,
1994-12,0.093,
1995-01,0.077,
1995-02,0.084,
1995-03,0.092,
1995-04,0.114,
1995-05,0.115,
1995-06,0.097,
1995-07,0.107,
1995-08,0.128,
1995-09,0.133,
1995-10,0.133,
1995-11,0.135,
1995-12,0.129,
1996-01,0.131,
1996-02,0.130,
1996-03,0.129,
1996-04,0.128,
1996-05,0.129,
1996-06,0.139,
1996-07,0.160,
1996-08,0.180,
1996-09,0.154,
1996-10,0.155,
1996-11,0.150,
1996-12,0.154,
1997-01,0.146,
1997-02,0.172,
1997-03,0.202,
1997-04,0.219,
1997-05,0.233,
1997-06,0.242,
1997-07,0.260,
1997-08,0.257,
1997-09,0.251,
1997-10,0.260,
1997-11,0.272,
1997-12,0.287,
1998-01,0.294,
1998-02,0.301,
1998-03,0.302,
1998-04,0.308,
1998-05,0.313,
1998-06,0.304,
1998-07,0.321,
1998-08,0.325,
1998-09,0.330,
1998-10,0.323,
1998-11,0.320,
1998-12,0.378,
1999-01,0.390,
1999-02,0.400,
1999-03,0.352,
1999-04,0.364,
1999-05,0.345,
1999-06,0.321,
1999-07,0.373,
1999-08,0.328,
1999-09,0.342,
1999-10,0.412,
1999-11,0.370,
1999-12,0.364,
2000-01,0.372,
2000-02,0.347,
2000-03,0.370,
2000-04,0.318,
2000-05,0.389,
2000-06,0.398,
2000-07,0.329,
2000-08,0.400,
2000-09,0.393,
2000-10,0.430,
2000-11,0.448,
2000-12,0.517,
2001-01,0.506,
2001-02,0.524,
2001-03,0.541,
2001-04,0.574,
2001-05,0.544,
2001-06,0.697,
2001-07,0.691,
2001-08,0.520,
2001-09,0.521,
2001-10,0.549,
2001-11,0.505,
2001-12,0.550,
2002-01,0.683,
2002-02,0.572,
2002-03,0.600,
2002-04,0.615,
2002-05,0.609,
2002-06,0.634,
2002-07,0.604,
2002-08,0.627,
2002-09,0.640,
2002-10,0.628,
2002-11,0.578,
2002-12,0.494,
2003-01,0.461,
2003-02,0.466,
2003-03,0.564,
2003-04,0.559,
2003-05,0.709,
2003-06,0.738,
2003-07,0.551,
2003-08,0.559,
2003-09,0.671,
2003-10,0.678,
2003-11,0.667,
2003-12,0.634,
2004-01,0.504,
2004-02,0.479,
2004-03,0.496,
2004-04,0.494,
2004-05,0.504,
2004-06,0.533,
2004-07,0.538,
2004-08,0.538,
2004-09,0.531,
2004-10,0.537,
2004-11,0.521,
2004-12,0.523,
2005-01,0.510,
2005-02,0.585,
2005-03,0.560,
2005-04,0.533,
2005-05,0.575,
2005-06,0.617,
2005-07,0.587,
2005-08,0.592,
2005-09,0.571,
2005-10,0.633,
2005-11,0.720,
2005-12,0.765,
2006-01,0.724,
2006-02,0.739,
2006-03,1.137,
2006-04,1.170,
2006-05,1.199,
2006-06,1.223,
2006-07,1.263,
2006-08,1.311,
2006-09,1.339,
2006-10,0.881,
2006-11,1.269,
2006-12,1.223,
2007-01,1.170,
2007-02,1.176,
2007-03,0.812,
2007-04,0.749,
2007-05,0.777,
2007-06,0.918,
2007-07,0.836,
2007-08,1.300,
2007-09,0.858,
2007-10,0.829,
2007-11,0.869,
2007-12,0.931,
2008-01,0.628,
2008-02,0.625,
2008-03,0.633,
2008-04,0.609,
2008-05,0.614,
2008-06,0.738,
2008-07,0.842,
2008-08,0.935,
2008-09,0.940,
2008-10,1.002,
2008-11,0.951,
2008-12,0.939,
2009-01,1.136,
2009-02,1.055,
2009-03,1.080,
2009-04,0.912,
2009-05,0.792,
2009-06,0.746,
2009-07,0.717,
2009-08,0.535,
2009-09,0.534,
2009-10,0.654,
2009-11,0.624,
2009-12,0.648,
2010-01,0.693,
2010-02,0.657,
2010-03,0.822,
2010-04,0.656,
2010-05,0.847,
2010-06,0.876,
2010-07,0.869,
2010-08,0.874,
2010-09,0.841,
2010-10,0.701,
2010-11,0.900,
2010-12,0.916,
2011-01,0.835,
2011-02,0.829,
2011-03,0.808,
2011-04,0.854,
2011-05,0.900,
2011-06,0.738,
2011-07,0.910,
2011-08,0.895,
2011-09,0.900,
2011-10,0.920,
2011-11,0.922,
2011-12,0.857,
2012-01,0.875,
2012-02,0.846,
2012-03,0.718,
2012-04,0.740,
2012-05,0.792,
2012-06,0.825,
2012-07,0.901,
2012-08,0.827,
2012-09,0.833,
2012-10,0.836,
2012-11,1.009,
2012-12,0.906,
2013-01,0.930,
2013-02,0.853,
2013-03,1.046,
2013-04,1.005,
2013-05,1.064,
2013-06,0.966,
2013-07,1.003,
2013-08,0.993,
2013-09,0.935,
2013-10,0.956,
2013-11,0.991,
2013-12,1.041,
2014-01,0.965,
2014-02,0.896,
2014-03,0.977,
2014-04,1.135,
2014-05,1.098,
2014-06,1.094,
2014-07,1.076,
2014-08,1.077,
2014-09,1.116,
2014-10,1.124,
2014-11,1.078,
2014-12,1.152,
