"",BBK01.BJ2913,BBK01.BJ2913_FLAGS
"","Central, state and local government - budgetary accounts (Germany as a whole) - financial transactions (revenue)",
unit,euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:01,
1999,24772,
2000,12586,
2001,23469,
2002,20546,
2003,21506,
2004,24057,
2005,31285,
2006,18763,
2007,18052,
2008,13898,
2009,7101,
2010,7913,
2011,22796,
2012,14627,Provisional value
2013,14651,Provisional value
"",General: For Germany as a whole (excluding hospitals with commercial accounting practices),
"",Methodology: Sale of participating interests and loan repayments received,
