"",BBK01.OUG245,BBK01.OUG245_FLAGS
"",Deposits and borrowing (excl. savings deposits and bank savings bonds) / Domestic employees / Time deposits / for more than 2 years / Landesbanken,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:34:11,
1999-01,1.900,
1999-02,1.850,
1999-03,1.856,
1999-04,1.874,
1999-05,1.660,
1999-06,1.658,
1999-07,1.654,
1999-08,1.644,
1999-09,1.645,
1999-10,1.491,
1999-11,1.489,
1999-12,1.490,
2000-01,1.486,
2000-02,1.484,
2000-03,1.468,
2000-04,1.449,
2000-05,1.397,
2000-06,1.395,
2000-07,1.395,
2000-08,1.387,
2000-09,1.383,
2000-10,1.359,
2000-11,1.355,
2000-12,1.357,
2001-01,1.353,
2001-02,1.351,
2001-03,1.348,
2001-04,1.317,
2001-05,1.314,
2001-06,1.336,
2001-07,1.332,
2001-08,1.330,
2001-09,1.330,
2001-10,1.274,
2001-11,1.270,
2001-12,1.273,
2002-01,1.270,
2002-02,1.245,
2002-03,1.244,
2002-04,1.243,
2002-05,1.213,
2002-06,1.212,
2002-07,1.210,
2002-08,1.209,
2002-09,1.204,
2002-10,1.177,
2002-11,1.175,
2002-12,1.173,
2003-01,1.168,
2003-02,1.167,
2003-03,1.165,
2003-04,1.164,
2003-05,1.067,
2003-06,1.067,
2003-07,1.064,
2003-08,1.064,
2003-09,1.063,
2003-10,1.063,
2003-11,1.030,
2003-12,1.029,
2004-01,1.028,
2004-02,1.027,
2004-03,1.025,
2004-04,1.024,
2004-05,0.810,
2004-06,0.810,
2004-07,0.809,
2004-08,0.808,
2004-09,0.016,
2004-10,0.017,
2004-11,0.016,
2004-12,0.016,
2005-01,0.015,
2005-02,0.016,
2005-03,0.017,
2005-04,0.017,
2005-05,0.017,
2005-06,0.018,
2005-07,0.017,
2005-08,0.020,
2005-09,0.020,
2005-10,0.021,
2005-11,0.019,
2005-12,0.019,
2006-01,0.017,
2006-02,0.017,
2006-03,0.016,
2006-04,0.017,
2006-05,0.017,
2006-06,0.015,
2006-07,0.015,
2006-08,0.017,
2006-09,0.018,
2006-10,0.017,
2006-11,0.017,
2006-12,0.018,
2007-01,0.018,
2007-02,0.016,
2007-03,0.016,
2007-04,0.016,
2007-05,0.015,
2007-06,0.013,
2007-07,0.014,
2007-08,0.013,
2007-09,0.014,
2007-10,0.013,
2007-11,0.013,
2007-12,0.010,
2008-01,0.010,
2008-02,0.010,
2008-03,0.009,
2008-04,0.010,
2008-05,0.009,
2008-06,0.009,
2008-07,0.009,
2008-08,0.009,
2008-09,0.009,
2008-10,0.009,
2008-11,0.009,
2008-12,0.009,
2009-01,0.010,
2009-02,0.010,
2009-03,0.009,
2009-04,0.008,
2009-05,0.009,
2009-06,0.009,
2009-07,0.010,
2009-08,0.013,
2009-09,0.013,
2009-10,0.014,
2009-11,0.014,
2009-12,0.012,
2010-01,0.022,
2010-02,0.022,
2010-03,0.022,
2010-04,0.022,
2010-05,0.021,
2010-06,0.019,
2010-07,0.019,
2010-08,0.019,
2010-09,0.019,
2010-10,0.020,
2010-11,0.020,
2010-12,0.019,
2011-01,0.008,
2011-02,0.009,
2011-03,0.009,
2011-04,0.009,
2011-05,0.010,
2011-06,0.009,
2011-07,0.009,
2011-08,0.007,
2011-09,0.008,
2011-10,0.008,
2011-11,0.013,
2011-12,0.013,
2012-01,0.009,
2012-02,0.010,
2012-03,0.011,
2012-04,0.009,
2012-05,0.008,
2012-06,0.011,
2012-07,0.010,
2012-08,0.013,
2012-09,0.012,
2012-10,0.012,
2012-11,0.012,
2012-12,0.014,
2013-01,0.014,
2013-02,0.014,
2013-03,0.012,
2013-04,0.012,
2013-05,0.011,
2013-06,0.008,
2013-07,0.009,
2013-08,0.009,
2013-09,0.010,
2013-10,0.010,
2013-11,0.010,
2013-12,0.006,
2014-01,0.006,
2014-02,0.006,
2014-03,0.002,
2014-04,0.003,
2014-05,0.004,
2014-06,0.003,
2014-07,0.002,
2014-08,0.002,
2014-09,0.003,
2014-10,0.002,
2014-11,0.002,
2014-12,0.002,Provisional value
