"",BBK01.OEYL02O,BBK01.OEYL02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:03,
2002-01,0.123,
2002-04,0.101,
2002-07,0.088,
2002-10,0.085,
2003-01,0.134,
2003-04,0.151,
2003-07,0.141,
2003-10,0.097,
2004-01,0.124,
2004-04,0.132,
2004-07,0.115,
2004-10,0.097,
2005-01,0.109,
2005-04,0.116,
2005-07,0.108,
2005-10,0.085,
2006-01,0.092,
2006-04,0.105,
2006-07,0.089,
2006-10,0.081,
2007-01,0.083,
2007-04,0.094,
2007-07,0.075,
2007-10,0.071,
2008-01,0.090,
2008-04,0.083,
2008-07,0.091,
2008-10,0.070,
2009-01,0.085,
2009-04,0.083,
2009-07,0.097,
2009-10,0.120,
2010-01,0.125,
2010-04,0.174,
2010-07,0.184,
2010-10,0.162,
2011-01,0.144,
2011-04,0.161,
2011-07,0.126,
2011-10,0.126,
2012-01,0.180,
2012-04,0.164,
2012-07,0.191,
2012-10,0.181,
2013-01,0.198,
2013-04,0.211,
2013-07,0.197,
2013-10,0.201,
2014-01,0.185,
2014-04,0.190,
2014-07,0.189,
