"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.IT.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.IT.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / Italy,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:44,
2009-09,2835,
2009-10,2865,
2009-11,2877,
2009-12,2822,
2010-01,2917,
2010-02,2912,
2010-03,2913,
2010-04,2910,
2010-05,2914,
2010-06,2907,
2010-07,2907,
2010-08,2940,
2010-09,2934,
2010-10,2954,
2010-11,2949,
2010-12,2972,
2011-01,2975,
2011-02,2927,
2011-03,2898,
2011-04,2912,
2011-05,2835,
2011-06,2864,
2011-07,2884,
2011-08,2894,
2011-09,2886,
2011-10,2891,
2011-11,2889,
2011-12,2892,
2012-01,2846,
2012-02,2845,
2012-03,2858,
2012-04,2839,
2012-05,2828,
2012-06,2843,
2012-07,2839,
2012-08,2805,
2012-09,2787,
2012-10,2787,
2012-11,2778,
2012-12,2750,
2013-01,2734,
2013-02,2721,
2013-03,2705,
2013-04,2691,
2013-05,2686,
2013-06,2670,
2013-07,2662,
2013-08,2617,
2013-09,2610,
2013-10,2604,
2013-11,2557,
2013-12,2552,
2014-01,2549,
2014-02,2434,
2014-03,2427,
2014-04,2410,
2014-05,2406,
2014-06,2386,
2014-07,2376,
2014-08,2410,
2014-09,2399,
2014-10,2391,
2014-11,2397,
