"",BBK01.OEAC16O,BBK01.OEAC16O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:19,
2002-01,9.214,
2002-04,9.143,
2002-07,9.130,
2002-10,8.945,
2003-01,8.998,
2003-04,8.956,
2003-07,8.632,
2003-10,8.412,
2004-01,8.426,
2004-04,7.875,
2004-07,7.799,
2004-10,7.876,
2005-01,8.045,
2005-04,7.866,
2005-07,7.830,
2005-10,7.257,
2006-01,7.771,
2006-04,7.722,
2006-07,7.813,
2006-10,7.472,
2007-01,7.773,
2007-04,7.907,
2007-07,9.022,
2007-10,8.359,
2008-01,8.394,
2008-04,8.458,
2008-07,8.038,
2008-10,7.468,
2009-01,7.453,
2009-04,7.115,
2009-07,6.916,
2009-10,6.814,
2010-01,6.947,
2010-04,7.265,
2010-07,7.272,
2010-10,7.384,
2011-01,7.423,
2011-04,7.490,
2011-07,7.376,
2011-10,7.243,
2012-01,7.495,
2012-04,7.651,
2012-07,7.334,
2012-10,7.400,
2013-01,7.667,
2013-04,7.499,
2013-07,7.730,
2013-10,7.663,
2014-01,7.725,
2014-04,7.537,
2014-07,7.402,
