"",BBK01.OEXL03J,BBK01.OEXL03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:00,
2002-01,0.261,
2002-04,0.247,
2002-07,0.239,
2002-10,0.238,
2003-01,0.221,
2003-04,0.213,
2003-07,0.212,
2003-10,0.207,
2004-01,0.189,
2004-04,0.177,
2004-07,0.162,
2004-10,0.141,
2005-01,0.134,
2005-04,0.130,
2005-07,0.160,
2005-10,0.170,
2006-01,0.173,
2006-04,0.175,
2006-07,0.192,
2006-10,0.222,
2007-01,0.231,
2007-04,0.245,
2007-07,0.256,
2007-10,0.303,
2008-01,0.318,
2008-04,0.347,
2008-07,0.382,
2008-10,0.432,
2009-01,0.361,
2009-04,0.299,
2009-07,0.240,
2009-10,0.208,
2010-01,0.241,
2010-04,0.240,
2010-07,0.215,
2010-10,0.206,
2011-01,0.204,
2011-04,0.203,
2011-07,0.211,
2011-10,0.219,
2012-01,0.216,
2012-04,0.200,
2012-07,0.174,
2012-10,0.157,
2013-01,0.141,
2013-04,0.128,
2013-07,0.125,
2013-10,0.116,
2014-01,0.106,
2014-04,0.108,
2014-07,0.106,
