"",BBK01.OEAD02T,BBK01.OEAD02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:05,
2002-01,0.173,
2002-04,0.178,
2002-07,0.183,
2002-10,0.188,
2003-01,0.193,
2003-04,0.191,
2003-07,0.191,
2003-10,0.197,
2004-01,0.191,
2004-04,0.187,
2004-07,0.187,
2004-10,0.197,
2005-01,0.191,
2005-04,0.182,
2005-07,0.183,
2005-10,0.162,
2006-01,0.151,
2006-04,0.153,
2006-07,0.146,
2006-10,0.159,
2007-01,0.158,
2007-04,0.141,
2007-07,0.122,
2007-10,0.115,
2008-01,0.181,
2008-04,0.207,
2008-07,0.201,
2008-10,0.198,
2009-01,0.197,
2009-04,0.195,
2009-07,0.191,
2009-10,0.185,
2010-01,0.160,
2010-04,0.151,
2010-07,0.148,
2010-10,0.147,
2011-01,0.144,
2011-04,0.148,
2011-07,0.147,
2011-10,0.160,
2012-01,0.161,
2012-04,0.154,
2012-07,0.157,
2012-10,0.130,
2013-01,0.144,
2013-04,0.134,
2013-07,0.141,
2013-10,0.108,
2014-01,0.106,
2014-04,0.105,
2014-07,0.149,
