"",BBDE1.M.DE.Y.JAA9.P2XF50500.CB.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50500.CB.V.ABA.A_FLAGS
"","Construction permits - estimated construction cost / At current prices, flows / Germany / Total (including construction work on existing buildings) - non-residential buildings, total / Public sector construction / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-01-15 11:09:27,
1994-01,0.82,
1994-02,0.87,
1994-03,0.79,
1994-04,0.79,
1994-05,0.82,
1994-06,0.72,
1994-07,0.89,
1994-08,0.78,
1994-09,0.72,
1994-10,0.77,
1994-11,0.89,
1994-12,0.66,
1995-01,0.77,
1995-02,0.65,
1995-03,0.76,
1995-04,0.76,
1995-05,1.14,
1995-06,0.50,
1995-07,0.69,
1995-08,0.76,
1995-09,0.69,
1995-10,0.68,
1995-11,0.71,
1995-12,0.84,
1996-01,0.69,
1996-02,0.62,
1996-03,0.65,
1996-04,0.65,
1996-05,0.73,
1996-06,0.60,
1996-07,0.70,
1996-08,0.56,
1996-09,0.67,
1996-10,0.85,
1996-11,0.63,
1996-12,0.76,
1997-01,0.78,
1997-02,0.85,
1997-03,0.75,
1997-04,0.63,
1997-05,0.72,
1997-06,0.69,
1997-07,0.54,
1997-08,0.66,
1997-09,0.97,
1997-10,0.80,
1997-11,0.49,
1997-12,0.73,
1998-01,0.72,
1998-02,0.58,
1998-03,0.70,
1998-04,0.93,
1998-05,0.61,
1998-06,0.81,
1998-07,1.06,
1998-08,0.69,
1998-09,0.76,
1998-10,0.76,
1998-11,0.64,
1998-12,0.56,
1999-01,0.54,
1999-02,0.64,
1999-03,0.85,
1999-04,0.63,
1999-05,0.63,
1999-06,0.69,
1999-07,0.59,
1999-08,0.70,
1999-09,0.69,
1999-10,0.49,
1999-11,0.68,
1999-12,0.63,
2000-01,0.73,
2000-02,0.63,
2000-03,0.65,
2000-04,0.88,
2000-05,0.57,
2000-06,0.70,
2000-07,0.55,
2000-08,0.56,
2000-09,0.81,
2000-10,0.51,
2000-11,0.55,
2000-12,0.56,
2001-01,0.62,
2001-02,0.62,
2001-03,0.79,
2001-04,0.67,
2001-05,0.81,
2001-06,0.63,
2001-07,0.54,
2001-08,0.41,
2001-09,0.61,
2001-10,0.61,
2001-11,0.65,
2001-12,0.51,
2002-01,0.69,
2002-02,0.71,
2002-03,0.62,
2002-04,0.67,
2002-05,0.65,
2002-06,0.62,
2002-07,0.63,
2002-08,0.58,
2002-09,0.51,
2002-10,0.51,
2002-11,0.61,
2002-12,0.61,
2003-01,0.52,
2003-02,0.55,
2003-03,0.56,
2003-04,0.49,
2003-05,0.53,
2003-06,0.60,
2003-07,0.45,
2003-08,0.60,
2003-09,0.53,
2003-10,0.53,
2003-11,0.60,
2003-12,0.65,
2004-01,0.41,
2004-02,0.62,
2004-03,0.54,
2004-04,0.53,
2004-05,0.49,
2004-06,0.52,
2004-07,0.65,
2004-08,0.55,
2004-09,0.50,
2004-10,0.58,
2004-11,0.48,
2004-12,0.42,
2005-01,0.38,
2005-02,0.39,
2005-03,0.80,
2005-04,0.49,
2005-05,0.49,
2005-06,0.43,
2005-07,0.57,
2005-08,0.56,
2005-09,0.57,
2005-10,0.44,
2005-11,0.59,
2005-12,0.59,
2006-01,0.50,
2006-02,0.54,
2006-03,0.46,
2006-04,0.45,
2006-05,0.53,
2006-06,0.54,
2006-07,0.47,
2006-08,0.52,
2006-09,0.41,
2006-10,0.42,
2006-11,0.37,
2006-12,0.48,
2007-01,0.36,
2007-02,0.48,
2007-03,0.44,
2007-04,0.49,
2007-05,0.49,
2007-06,0.42,
2007-07,0.59,
2007-08,0.45,
2007-09,0.63,
2007-10,0.46,
2007-11,0.85,
2007-12,0.46,
2008-01,0.56,
2008-02,0.40,
2008-03,0.51,
2008-04,0.47,
2008-05,0.96,
2008-06,0.68,
2008-07,0.51,
2008-08,0.51,
2008-09,0.54,
2008-10,0.54,
2008-11,0.87,
2008-12,0.56,
2009-01,0.79,
2009-02,0.70,
2009-03,0.79,
2009-04,0.90,
2009-05,0.84,
2009-06,0.86,
2009-07,0.87,
2009-08,0.91,
2009-09,0.84,
2009-10,0.99,
2009-11,1.06,
2009-12,1.30,
2010-01,0.90,
2010-02,1.06,
2010-03,1.01,
2010-04,0.92,
2010-05,0.78,
2010-06,0.77,
2010-07,0.77,
2010-08,0.77,
2010-09,0.73,
2010-10,0.69,
2010-11,0.70,
2010-12,0.72,
2011-01,0.67,
2011-02,0.77,
2011-03,0.73,
2011-04,0.72,
2011-05,0.71,
2011-06,0.64,
2011-07,0.52,
2011-08,0.63,
2011-09,0.71,
2011-10,0.66,
2011-11,0.61,
2011-12,0.66,
2012-01,0.55,
2012-02,0.52,
2012-03,0.60,
2012-04,0.53,
2012-05,0.66,
2012-06,0.69,
2012-07,0.65,
2012-08,0.58,
2012-09,0.66,
2012-10,0.70,
2012-11,0.67,
2012-12,0.74,
2013-01,0.84,
2013-02,1.06,
2013-03,0.79,
2013-04,0.83,
2013-05,0.71,
2013-06,0.59,
2013-07,0.86,
2013-08,0.82,
2013-09,0.73,
2013-10,0.90,
2013-11,0.61,
2013-12,0.51,
2014-01,0.71,
2014-02,0.61,
2014-03,0.60,
2014-04,0.95,
2014-05,0.61,
2014-06,0.58,
2014-07,0.59,
2014-08,0.70,
2014-09,0.53,
2014-10,0.63,
2014-11,0.65,
