"",BBK01.OEHL03K,BBK01.OEHL03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:41,
2002-01,1.182,
2002-04,1.072,
2002-07,1.091,
2002-10,1.097,
2003-01,1.045,
2003-04,0.981,
2003-07,0.908,
2003-10,0.892,
2004-01,0.800,
2004-04,0.763,
2004-07,0.752,
2004-10,0.799,
2005-01,0.738,
2005-04,0.705,
2005-07,0.722,
2005-10,0.743,
2006-01,0.717,
2006-04,0.786,
2006-07,0.777,
2006-10,0.823,
2007-01,0.813,
2007-04,0.890,
2007-07,0.833,
2007-10,0.930,
2008-01,0.981,
2008-04,1.086,
2008-07,1.132,
2008-10,1.280,
2009-01,0.813,
2009-04,0.773,
2009-07,0.626,
2009-10,0.578,
2010-01,0.550,
2010-04,0.608,
2010-07,0.597,
2010-10,0.710,
2011-01,0.510,
2011-04,0.546,
2011-07,0.542,
2011-10,0.545,
2012-01,0.474,
2012-04,0.157,
2012-07,0.140,
2012-10,0.110,
2013-01,0.106,
2013-04,0.101,
2013-07,0.074,
2013-10,0.067,
2014-01,0.065,
2014-04,0.060,
2014-07,0.035,
