"",BBSF2.M.1.T.00000.IMM01.I.F.DGG.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.DGG.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Loans granted to real estate companies,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:56,
2009-01,-,Nothing exists
2009-02,-,Nothing exists
2009-03,-,Nothing exists
2009-04,-,Nothing exists
2009-05,-,Nothing exists
2009-06,-,Nothing exists
2009-07,-,Nothing exists
2009-08,-,Nothing exists
2009-09,6332,
2009-10,6258,
2009-11,6313,
2009-12,6441,
2010-01,6544,
2010-02,6414,
2010-03,6576,
2010-04,6705,
2010-05,6668,
2010-06,6870,
2010-07,6842,
2010-08,7018,
2010-09,6875,
2010-10,7103,
2010-11,7252,
2010-12,7157,
2011-01,7003,
2011-02,6853,
2011-03,6764,
2011-04,6789,
2011-05,6847,
2011-06,6836,
2011-07,6915,
2011-08,6876,
2011-09,6965,
2011-10,6991,
2011-11,7047,
2011-12,7036,
2012-01,7207,
2012-02,7212,
2012-03,7232,
2012-04,7209,
2012-05,7323,
2012-06,7355,
2012-07,7755,
2012-08,7628,
2012-09,7319,
2012-10,7449,
2012-11,7528,
2012-12,7623,
2013-01,7496,
2013-02,7588,
2013-03,7698,
2013-04,7585,
2013-05,7642,
2013-06,7921,
2013-07,7811,
2013-08,7853,
2013-09,7772,
2013-10,7685,
2013-11,7769,
2013-12,7769,
2014-01,8134,
2014-02,8252,
2014-03,8207,
2014-04,8346,
2014-05,8404,
2014-06,8345,
2014-07,8483,
2014-08,8574,
2014-09,8565,
2014-10,8501,
2014-11,8622,
