"",BBEX3.M.CRC.EUR.CA.AB.A01,BBEX3.M.CRC.EUR.CA.AB.A01_FLAGS
"",Exchange rates (comparable rates) for the euro in Costa Rica * / EUR 1 = CRC ... (selling),
unit,CRC (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:49,
1999-01,311.8647,
1999-02,304.4273,
1999-03,299.7877,
1999-04,298.3056,
1999-05,296.9399,
1999-06,296.0418,
1999-07,308.8213,
1999-08,307.5157,
1999-09,312.0792,
1999-10,307.6945,
1999-11,299.2953,
1999-12,301.0154,comment
2000-01,293.7006,
2000-02,295.8423,comment
2000-03,289.9813,
2000-04,276.9744,
2000-05,285.2579,
2000-06,294.7262,
2000-07,286.5330,
2000-08,277.6356,
2000-09,274.6075,
2000-10,265.1439,
2000-11,275.1525,
2000-12,296.1782,
2001-01,297.3946,
2001-02,297.3879,
2001-03,285.5651,
2001-04,288.2126,
2001-05,276.9907,
2001-06,278.3814,
2001-07,289.2477,
2001-08,304.3753,
2001-09,305.3406,
2001-10,304.6792,
2001-11,302.1405,
2001-12,301.3517,
2002-01,297.7951,
2002-02,300.6828,
2002-03,305.6802,
2002-04,318.3968,
2002-05,334.8718,
2002-06,358.8706,
2002-07,355.2012,
2002-08,359.9075,
2002-09,363.9523,
2002-10,367.4735,
2002-11,373.0269,
2002-12,397.1951,
2003-01,413.5281,
2003-02,415.7000,
2003-03,423.6303,
2003-04,436.3241,
2003-05,467.2646,
2003-06,455.4688,
2003-07,455.2326,
2003-08,443.0571,
2003-09,476.4270,
2003-10,479.4540,
2003-11,498.8305,
2003-12,529.2096,
2004-01,522.7782,
2004-02,528.0258,
2004-03,523.7984,
2004-04,515.6086,
2004-05,530.2837,
2004-06,532.4012,
2004-07,531.1727,
2004-08,538.8184,
2004-09,556.3203,
2004-10,575.4322,
2004-11,605.6936,
2004-12,626.0756,
2005-01,602.8427,
2005-02,617.5508,
2005-03,607.8431,
2005-04,611.6870,
2005-05,585.9568,
2005-06,578.8199,
2005-07,582.4352,
2005-08,591.2859,
2005-09,587.6014,
2005-10,590.2451,
2005-11,581.7299,
2005-12,587.1485,
2006-01,606.6877,
2006-02,597.5144,
2006-03,612.4987,
2006-04,637.6067,
2006-05,657.9408,
2006-06,653.5245,
2006-07,659.6709,
2006-08,667.4038,
2006-09,660.4469,
2006-10,659.7222,
2006-11,684.7896,
2006-12,684.4317,
2007-01,674.9682,
2007-02,688.2535,
2007-03,693.4816,
2007-04,708.3851,
2007-05,700.5784,
2007-06,703.2324,
2007-07,713.6961,
2007-08,713.6879,
2007-09,738.2864,
2007-10,752.9199,
2007-11,741.3712,
2007-12,737.4779,
2008-01,743.1134,
2008-02,756.8333,
2008-03,785.8564,
2008-04,772.6643,
2008-05,810.8823,
2008-06,824.0789,
2008-07,868.9707,
2008-08,820.3269,
2008-09,799.9096,
2008-10,715.0426,
2008-11,700.9395,
2008-12,780.5349,
2009-01,723.8989,
2009-02,720.6321,
2009-03,756.3602,
2009-04,767.1623,
2009-05,819.9115,
2009-06,819.6448,
2009-07,835.4710,
2009-08,847.3857,
2009-09,866.4702,
2009-10,867.7388,
2009-11,840.1913,
2009-12,823.7495,
2010-01,789.2326,
2010-02,757.8167,
2010-03,712.7426,
2010-04,687.1073,
2010-05,671.6176,
2010-06,662.9285,
2010-07,680.9866,
2010-08,652.1070,
2010-09,700.0605,
2010-10,719.4277,
2010-11,665.7576,
2010-12,692.2719,
2011-01,699.2367,
2011-02,702.2277,
2011-03,719.1015,
2011-04,752.5698,
2011-05,735.2893,
2011-06,736.4815,
2011-07,728.5149,
2011-08,746.7327,
2011-09,701.9805,
2011-10,729.6061,
2011-11,687.1358,
2011-12,670.6672,
2012-01,678.4454,
2012-02,694.9224,
2012-03,685.9374,
2012-04,673.3722,
2012-05,629.2042,
2012-06,634.3472,
2012-07,621.5458,
2012-08,634.6107,
2012-09,650.7798,
2012-10,653.8597,
2012-11,653.4166,
2012-12,678.5938,
2013-01,686.9850,
2013-02,665.4302,
2013-03,646.2043,
2013-04,659.4301,
2013-05,655.7625,
2013-06,659.9252,
2013-07,669.6441,
2013-08,675.0247,
2013-09,682.7723,
2013-10,690.2619,
2013-11,687.5324,
2013-12,700.3070,
2014-01,702.3319,
2014-02,764.6048,
2014-03,763.3450,
2014-04,770.2816,
2014-05,761.8287,
2014-06,749.3598,
2014-07,727.7239,
2014-08,719.1812,
2014-09,686.4278,
2014-10,682.1948,
2014-11,675.5675,
2014-12,662.3280,
2015-01,613.9519,
"","Source: Since March 2003: Banco Central de Costa Rica, San José. 1999 - February 2003: Dresdner Bank Lateinamerika AG, Hamburg. (for US dollar rates in each case)",
"",Methodology: * We do not have any data from Costa Rica on euro exchange rates; the comparable rates were calculated on the basis of exchange rates for the US dollar in Costa Rica in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.,
"",Comment on 1999-12: Calculated using the US dollar exchange rate on 28 December 1999.,
"",Comment on 2000-02: Calculated using the US dollar exchange rate on 25 February 2000.,
