"",BBFB1.Q.N.DE.GB.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.GB.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:11,
1991-01,-2894.537,
1991-04,2767.976,
1991-07,7261.269,
1991-10,8532.887,
1992-01,-4522.726,
1992-04,1696.548,
1992-07,16055.097,
1992-10,9092.730,
1993-01,18912.178,
1993-04,17751.043,
1993-07,10599.304,
1993-10,21688.356,
1994-01,-3217.601,
1994-04,-5586.947,
1994-07,2857.842,
1994-10,3502.934,
1995-01,3817.075,
1995-04,10294.846,
1995-07,8486.310,
1995-10,10699.911,
1996-01,13786.678,
1996-04,16890.975,
1996-07,14872.841,
1996-10,7427.250,
1997-01,10947.329,
1997-04,6137.561,
1997-07,24262.623,
1997-10,19654.235,
1998-01,18002.660,
1998-04,18049.503,
1998-07,38777.401,
1998-10,3146.408,
1999-01,16131.182,
1999-04,35115.584,
1999-07,44973.503,
1999-10,36049.264,
2000-01,-23730.072,
2000-04,71952.406,
2000-07,49907.679,
2000-10,55098.352,
2001-01,39345.218,
2001-04,70999.101,
2001-07,69918.344,
2001-10,44519.577,
2002-01,58664.127,
2002-04,84527.999,
2002-07,80457.800,
2002-10,80238.979,
2003-01,74332.114,
2003-04,73159.531,
2003-07,53784.062,
2003-10,64563.172,
2004-01,106683.497,
2004-04,46040.685,
2004-07,89606.262,
2004-10,70107.859,
2005-01,88106.884,
2005-04,122509.897,
2005-07,82304.866,
2005-10,69806.796,
2006-01,104033.036,
2006-04,59345.790,
2006-07,56725.188,
2006-10,65640.957,
2007-01,109620.893,
2007-04,93806.425,
2007-07,91961.482,
2007-10,96683.703,
2008-01,92128.810,
2008-04,115829.364,
2008-07,115368.671,
2008-10,72509.615,
2009-01,97499.008,
2009-04,99961.206,
2009-07,105621.640,
2009-10,90671.626,
2010-01,100778.106,
2010-04,108960.870,
2010-07,120413.531,
2010-10,104163.750,
2011-01,126069.579,
2011-04,147337.222,
2011-07,168151.377,
2011-10,131411.744,
2012-01,166512.854,
2012-04,140120.024,
2012-07,122887.289,
2012-10,92432.121,
2013-01,134746.387,
2013-04,117767.463,
2013-07,118620.860,
2013-10,98238.825,
2014-01,140811.127,Provisional value
2014-04,137028.583,Provisional value
2014-07,115048.121,Provisional value
2014-10,105586.944,Provisional value
