"",BBK01.OEAF05U,BBK01.OEAF05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:17,
2002-01,1.852,
2002-04,1.885,
2002-07,1.904,
2002-10,2.194,
2003-01,2.252,
2003-04,2.352,
2003-07,2.500,
2003-10,2.655,
2004-01,2.782,
2004-04,2.590,
2004-07,2.631,
2004-10,2.612,
2005-01,2.529,
2005-04,2.446,
2005-07,2.650,
2005-10,2.634,
2006-01,2.628,
2006-04,2.684,
2006-07,2.725,
2006-10,2.682,
2007-01,2.557,
2007-04,2.490,
2007-07,2.410,
2007-10,2.334,
2008-01,2.249,
2008-04,2.220,
2008-07,2.184,
2008-10,2.134,
2009-01,2.105,
2009-04,2.078,
2009-07,2.170,
2009-10,2.371,
2010-01,2.090,
2010-04,2.085,
2010-07,2.045,
2010-10,1.993,
2011-01,1.975,
2011-04,1.960,
2011-07,1.968,
2011-10,1.919,
2012-01,1.904,
2012-04,1.905,
2012-07,1.884,
2012-10,1.828,
2013-01,1.746,
2013-04,1.765,
2013-07,1.797,
2013-10,1.785,
2014-01,1.796,
2014-04,1.823,
2014-07,1.837,
