"",BBK01.OEAE08U,BBK01.OEAE08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:20,
2002-01,0.067,
2002-04,0.060,
2002-07,0.061,
2002-10,0.060,
2003-01,0.058,
2003-04,0.067,
2003-07,0.065,
2003-10,0.068,
2004-01,0.075,
2004-04,0.062,
2004-07,0.059,
2004-10,0.071,
2005-01,0.061,
2005-04,0.061,
2005-07,0.063,
2005-10,0.072,
2006-01,0.059,
2006-04,0.059,
2006-07,0.062,
2006-10,0.052,
2007-01,0.059,
2007-04,0.057,
2007-07,0.070,
2007-10,0.070,
2008-01,0.064,
2008-04,0.072,
2008-07,0.072,
2008-10,0.076,
2009-01,0.071,
2009-04,0.067,
2009-07,0.074,
2009-10,0.046,
2010-01,0.057,
2010-04,0.057,
2010-07,0.057,
2010-10,0.059,
2011-01,0.062,
2011-04,0.051,
2011-07,0.053,
2011-10,0.053,
2012-01,0.052,
2012-04,0.053,
2012-07,0.052,
2012-10,0.050,
2013-01,0.049,
2013-04,0.054,
2013-07,0.055,
2013-10,0.050,
2014-01,0.053,
2014-04,0.051,
2014-07,0.049,
