"",BBK01.OEXI03P,BBK01.OEXI03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:44,
2002-01,0.226,
2002-04,0.202,
2002-07,0.226,
2002-10,0.210,
2003-01,0.214,
2003-04,0.191,
2003-07,0.155,
2003-10,0.091,
2004-01,0.091,
2004-04,0.083,
2004-07,0.086,
2004-10,0.082,
2005-01,0.084,
2005-04,0.081,
2005-07,0.094,
2005-10,0.151,
2006-01,0.164,
2006-04,0.159,
2006-07,0.141,
2006-10,0.180,
2007-01,0.260,
2007-04,0.237,
2007-07,0.256,
2007-10,0.274,
2008-01,0.380,
2008-04,0.389,
2008-07,0.285,
2008-10,0.446,
2009-01,0.484,
2009-04,0.355,
2009-07,0.362,
2009-10,0.319,
2010-01,0.451,
2010-04,0.200,
2010-07,0.292,
2010-10,0.248,
2011-01,0.383,
2011-04,0.425,
2011-07,0.413,
2011-10,0.485,
2012-01,0.473,
2012-04,0.530,
2012-07,0.582,
2012-10,0.501,
2013-01,0.486,
2013-04,0.448,
2013-07,0.379,
2013-10,0.285,
2014-01,0.299,
2014-04,0.313,
2014-07,0.229,
