"",BBEX3.M.ZMK.EUR.CA.AA.A01,BBEX3.M.ZMK.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Zambia  / EUR 1 = ZMK ... (buying),
unit,ZMK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:28,
1999-01,2867.35,
1999-02,2268.88,
1999-03,2431.69,
1999-04,2488.03,
1999-05,2498.21,
1999-06,2508.18,
1999-07,2575.67,
1999-08,2474.09,
1999-09,2529.32,
1999-10,2521.24,
1999-11,2514.52,
1999-12,2647.66,
2000-01,2600.55,
2000-02,2649.17,
2000-03,2614.55,
2000-04,2559.62,
2000-05,2661.90,
2000-06,2849.30,
2000-07,2924.76,
2000-08,2848.19,
2000-09,2831.98,
2000-10,2905.69,
2000-11,3434.75,
2000-12,3829.90,
2001-01,3218.87,
2001-02,3326.01,
2001-03,2665.28,
2001-04,2815.17,
2001-05,2935.38,
2001-06,3127.78,
2001-07,3106.63,
2001-08,3272.39,
2001-09,3396.66,
2001-10,3392.64,
2001-11,3367.06,
2001-12,3348.93,
2002-01,3328.91,
2002-02,3367.04,
2002-03,3411.73,
2002-04,3534.38,
2002-05,3934.69,
2002-06,4366.76,
2002-07,4381.49,
2002-08,4375.21,
2002-09,4421.09,
2002-10,4555.66,
2002-11,4720.30,
2002-12,4481.46,
2003-01,4879.59,
2003-02,5163.74,
2003-03,5187.93,
2003-04,5258.89,
2003-05,5619.38,
2003-06,5466.81,
2003-07,5255.48,
2003-08,5020.94,
2003-09,5444.96,
2003-10,5565.38,
2003-11,5576.88,
2003-12,5920.41,
2004-01,5908.96,
2004-02,5850.44,
2004-03,5720.05,
2004-04,5576.79,
2004-05,5813.34,
2004-06,5818.53,
2004-07,5700.33,
2004-08,5759.46,
2004-09,6013.25,
2004-10,6075.89,
2004-11,6240.29,
2004-12,6450.26,
2005-01,6154.99,
2005-02,6204.84,
2005-03,6013.63,
2005-04,6015.35,
2005-05,5883.28,
2005-06,5608.90,
2005-07,5530.50,
2005-08,5254.60,
2005-09,5395.19,
2005-10,5169.42,
2005-11,4081.69,
2005-12,4115.10,
2006-01,4098.49,
2006-02,3898.01,
2006-03,3958.07,
2006-04,3793.16,
2006-05,4305.33,
2006-06,4440.15,
2006-07,4636.45,
2006-08,5005.42,
2006-09,5266.69,
2006-10,4874.14,
2006-11,5302.24,
2006-12,5797.59,
2007-01,5546.98,
2007-02,5596.28,
2007-03,5662.01,
2007-04,5684.56,
2007-05,5352.33,
2007-06,5081.55,
2007-07,5320.95,
2007-08,5507.20,
2007-09,5467.99,
2007-10,5455.45,
2007-11,5518.58,
2007-12,5568.47,
2008-01,5662.33,
2008-02,5662.02,
2008-03,5818.19,
2008-04,5392.77,
2008-05,5373.45,
2008-06,5011.24,
2008-07,5468.64,
2008-08,5160.84,
2008-09,5120.23,
2008-10,6207.67,
2008-11,5799.53,
2008-12,6847.12,
2009-01,6567.74,
2009-02,7105.08,
2009-03,7427.94,
2009-04,7439.56,
2009-05,7270.31,
2009-06,7270.20,
2009-07,7109.42,
2009-08,6674.16,
2009-09,6890.10,
2009-10,6861.63,
2009-11,7017.75,
2009-12,6668.47,
2010-01,6388.01,
2010-02,6425.19,
2010-03,6339.00,
2010-04,6310.35,
2010-05,6149.49,
2010-06,6299.27,
2010-07,6338.15,
2010-08,6262.03,
2010-09,6606.57,
2010-10,6467.51,
2010-11,6399.42,
2010-12,6400.46,
2011-01,6618.76,
2011-02,6569.04,
2011-03,6679.15,
2011-04,6964.17,
2011-05,6842.90,
2011-06,6990.46,
2011-07,6853.34,
2011-08,7146.50,
2011-09,6467.51,
2011-10,6855.88,
2011-11,6773.27,
2011-12,6608.51,
2012-01,6749.75,
2012-02,7041.74,
2012-03,7024.32,
2012-04,6837.47,
2012-05,6617.26,
2012-06,6521.22,
2012-07,6096.86,
2012-08,6299.95,
2012-09,6573.38,
2012-10,6849.92,
2012-11,6763.90,
2012-12,6774.16,
"","General: With effect from 1 January 2013, a currency conversion took place at the rate of 1,000 (old) kwacha = 1 (new) kwacha; the new ISO currency code is ZMW. The currency conversion did not entail any appreciation or depreciation against other currencies.",
"","Source: Bank of Zambia, Lusaka",
