"",BBK01.OEAD05O,BBK01.OEAD05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:41,
2002-01,0.751,
2002-04,0.766,
2002-07,0.760,
2002-10,0.733,
2003-01,0.739,
2003-04,0.722,
2003-07,0.717,
2003-10,0.704,
2004-01,0.736,
2004-04,0.724,
2004-07,0.705,
2004-10,0.682,
2005-01,0.733,
2005-04,0.720,
2005-07,0.738,
2005-10,0.696,
2006-01,0.733,
2006-04,0.735,
2006-07,0.728,
2006-10,0.740,
2007-01,0.736,
2007-04,0.767,
2007-07,0.755,
2007-10,0.784,
2008-01,0.786,
2008-04,0.810,
2008-07,0.841,
2008-10,0.835,
2009-01,0.850,
2009-04,0.804,
2009-07,0.743,
2009-10,0.718,
2010-01,0.670,
2010-04,0.778,
2010-07,0.784,
2010-10,0.744,
2011-01,0.790,
2011-04,0.800,
2011-07,0.788,
2011-10,0.779,
2012-01,0.793,
2012-04,0.821,
2012-07,0.799,
2012-10,0.800,
2013-01,0.841,
2013-04,0.846,
2013-07,0.806,
2013-10,0.782,
2014-01,0.855,
2014-04,0.856,
2014-07,0.857,
