"",BBK01.OEHB12U,BBK01.OEHB12U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:35,
2002-01,1.015,
2002-04,1.044,
2002-07,1.043,
2002-10,1.070,
2003-01,1.069,
2003-04,1.082,
2003-07,1.115,
2003-10,1.135,
2004-01,1.142,
2004-04,1.158,
2004-07,1.160,
2004-10,1.208,
2005-01,1.177,
2005-04,1.182,
2005-07,1.166,
2005-10,1.177,
2006-01,1.163,
2006-04,1.186,
2006-07,1.191,
2006-10,1.206,
2007-01,1.212,
2007-04,1.228,
2007-07,1.237,
2007-10,1.257,
2008-01,1.266,
2008-04,1.301,
2008-07,1.347,
2008-10,1.394,
2009-01,1.413,
2009-04,1.460,
2009-07,1.450,
2009-10,1.457,
2010-01,1.507,
2010-04,1.518,
2010-07,1.565,
2010-10,1.600,
2011-01,1.614,
2011-04,1.633,
2011-07,1.672,
2011-10,1.717,
2012-01,1.725,
2012-04,1.790,
2012-07,1.822,
2012-10,1.854,
2013-01,1.876,
2013-04,1.927,
2013-07,1.972,
2013-10,2.017,
2014-01,2.004,
2014-04,2.106,
2014-07,2.122,
