"",BBK01.OEHB15S,BBK01.OEHB15S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:15,
2002-01,0.077,
2002-04,0.077,
2002-07,0.076,
2002-10,0.075,
2003-01,0.076,
2003-04,0.076,
2003-07,0.074,
2003-10,0.072,
2004-01,0.067,
2004-04,0.069,
2004-07,0.067,
2004-10,0.066,
2005-01,0.067,
2005-04,0.068,
2005-07,0.068,
2005-10,0.058,
2006-01,0.056,
2006-04,0.054,
2006-07,0.052,
2006-10,0.050,
2007-01,0.048,
2007-04,0.047,
2007-07,0.045,
2007-10,0.044,
2008-01,0.044,
2008-04,0.043,
2008-07,0.041,
2008-10,0.039,
2009-01,0.039,
2009-04,0.038,
2009-07,0.036,
2009-10,0.036,
2010-01,0.034,
2010-04,0.033,
2010-07,0.043,
2010-10,0.046,
2011-01,0.046,
2011-04,0.047,
2011-07,0.048,
2011-10,0.048,
2012-01,0.049,
2012-04,0.050,
2012-07,0.055,
2012-10,0.053,
2013-01,0.055,
2013-04,0.056,
2013-07,0.057,
2013-10,0.059,
2014-01,0.060,
2014-04,0.060,
2014-07,0.062,
