"",BBK01.OELJ02Q,BBK01.OELJ02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:25,
2002-01,0.373,
2002-04,0.393,
2002-07,0.419,
2002-10,0.441,
2003-01,0.439,
2003-04,0.416,
2003-07,0.505,
2003-10,0.544,
2004-01,0.537,
2004-04,0.493,
2004-07,0.515,
2004-10,0.586,
2005-01,0.544,
2005-04,0.608,
2005-07,0.566,
2005-10,0.610,
2006-01,0.543,
2006-04,0.583,
2006-07,0.638,
2006-10,0.676,
2007-01,0.644,
2007-04,0.683,
2007-07,0.679,
2007-10,0.712,
2008-01,0.696,
2008-04,0.672,
2008-07,0.755,
2008-10,0.779,
2009-01,0.804,
2009-04,0.843,
2009-07,1.010,
2009-10,1.019,
2010-01,1.031,
2010-04,1.114,
2010-07,1.223,
2010-10,1.240,
2011-01,1.227,
2011-04,1.272,
2011-07,1.312,
2011-10,1.460,
2012-01,1.450,
2012-04,1.464,
2012-07,1.698,
2012-10,1.577,
2013-01,1.661,
2013-04,1.763,
2013-07,1.883,
2013-10,1.842,
2014-01,1.917,
2014-04,1.822,
2014-07,1.901,
