"",BBFN1.M.DE.N.1.L.SI.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SI.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Slovenia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:58,
1995-12,0.171,
1996-01,0.166,
1996-02,0.179,
1996-03,0.168,
1996-04,0.156,
1996-05,0.162,
1996-06,0.169,
1996-07,0.169,
1996-08,0.150,
1996-09,0.157,
1996-10,0.153,
1996-11,0.142,
1996-12,0.133,
1997-01,0.138,
1997-02,0.144,
1997-03,0.154,
1997-04,0.156,
1997-05,0.163,
1997-06,0.164,
1997-07,0.173,
1997-08,0.166,
1997-09,0.170,
1997-10,0.176,
1997-11,0.166,
1997-12,0.154,
1998-01,0.136,
1998-02,0.168,
1998-03,0.173,
1998-04,0.181,
1998-05,0.197,
1998-06,0.199,
1998-07,0.210,
1998-08,0.199,
1998-09,0.214,
1998-10,0.219,
1998-11,0.230,
1998-12,0.226,
1999-01,0.236,
1999-02,0.259,
1999-03,0.264,
1999-04,0.245,
1999-05,0.220,
1999-06,0.262,
1999-07,0.257,
1999-08,0.262,
1999-09,0.264,
1999-10,0.265,
1999-11,0.278,
1999-12,0.244,
2000-01,0.271,
2000-02,0.281,
2000-03,0.291,
2000-04,0.285,
2000-05,0.263,
2000-06,0.276,
2000-07,0.271,
2000-08,0.246,
2000-09,0.263,
2000-10,0.276,
2000-11,0.295,
2000-12,0.286,
2001-01,0.237,
2001-02,0.214,
2001-03,0.227,
2001-04,0.242,
2001-05,0.256,
2001-06,0.290,
2001-07,0.263,
2001-08,0.251,
2001-09,0.258,
2001-10,0.273,
2001-11,0.287,
2001-12,0.270,
2002-01,0.288,
2002-02,0.306,
2002-03,0.276,
2002-04,0.271,
2002-05,0.278,
2002-06,0.253,
2002-07,0.265,
2002-08,0.247,
2002-09,0.266,
2002-10,0.248,
2002-11,0.262,
2002-12,0.227,
2003-01,0.215,
2003-02,0.233,
2003-03,0.238,
2003-04,0.248,
2003-05,0.235,
2003-06,0.244,
2003-07,0.231,
2003-08,0.223,
2003-09,0.250,
2003-10,0.267,
2003-11,0.267,
2003-12,0.240,
2004-01,0.253,
2004-02,0.239,
2004-03,0.248,
2004-04,0.232,
2004-05,0.234,
2004-06,0.232,
2004-07,0.222,
2004-08,0.244,
2004-09,0.271,
2004-10,0.224,
2004-11,0.252,
2004-12,0.246,
2005-01,0.225,
2005-02,0.226,
2005-03,0.243,
2005-04,0.237,
2005-05,0.231,
2005-06,0.250,
2005-07,0.233,
2005-08,0.228,
2005-09,0.250,
2005-10,0.273,
2005-11,0.305,
2005-12,0.284,
2006-01,0.286,
2006-02,0.259,
2006-03,0.272,
2006-04,0.260,
2006-05,0.268,
2006-06,0.268,
2006-07,0.265,
2006-08,0.260,
2006-09,0.220,
2006-10,0.248,
2006-11,0.252,
2006-12,0.255,
2007-01,0.246,
2007-02,0.256,
2007-03,0.270,
2007-04,0.288,
2007-05,0.283,
2007-06,0.291,
2007-07,0.287,
2007-08,0.286,
2007-09,0.311,
2007-10,0.313,
2007-11,0.299,
2007-12,0.268,
2008-01,0.277,
2008-02,0.301,
2008-03,0.315,
2008-04,0.318,
2008-05,0.288,
2008-06,0.312,
2008-07,0.317,
2008-08,0.294,
2008-09,0.303,
2008-10,0.308,
2008-11,0.314,
2008-12,0.275,
2009-01,0.286,
2009-02,0.290,
2009-03,0.298,
2009-04,0.283,
2009-05,0.284,
2009-06,0.271,
2009-07,0.306,
2009-08,0.299,
2009-09,0.355,
2009-10,0.362,
2009-11,0.356,
2009-12,0.370,
2010-01,0.363,
2010-02,0.382,
2010-03,0.382,
2010-04,0.400,
2010-05,0.410,
2010-06,0.480,
2010-07,0.470,
2010-08,0.459,
2010-09,0.454,
2010-10,0.446,
2010-11,0.458,
2010-12,0.461,
2011-01,0.451,
2011-02,0.514,
2011-03,0.585,
2011-04,0.550,
2011-05,0.581,
2011-06,0.676,
2011-07,0.677,
2011-08,0.669,
2011-09,0.636,
2011-10,0.664,
2011-11,0.654,
2011-12,0.639,
2012-01,0.675,
2012-02,0.459,
2012-03,0.508,
2012-04,0.503,
2012-05,0.463,
2012-06,0.480,
2012-07,0.492,
2012-08,0.479,
2012-09,0.501,
2012-10,0.557,
2012-11,0.533,
2012-12,0.506,
2013-01,0.486,
2013-02,0.523,
2013-03,0.571,
2013-04,0.825,
2013-05,0.847,
2013-06,0.873,
2013-07,0.829,
2013-08,0.907,
2013-09,0.908,
2013-10,0.892,
2013-11,0.910,
2013-12,0.881,
2014-01,0.843,
2014-02,0.946,
2014-03,0.985,
2014-04,0.987,
2014-05,0.997,
2014-06,0.950,
2014-07,0.954,
2014-08,0.931,
2014-09,0.959,
2014-10,0.966,
2014-11,0.969,
2014-12,0.951,
