"",BBFN1.M.DE.N.1.L.HK.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.HK.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Hong Kong,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:33,
1994-12,1.612,
1995-01,1.591,
1995-02,1.542,
1995-03,1.563,
1995-04,1.471,
1995-05,1.487,
1995-06,1.502,
1995-07,1.522,
1995-08,1.577,
1995-09,1.614,
1995-10,1.647,
1995-11,1.677,
1995-12,1.654,
1996-01,1.627,
1996-02,1.680,
1996-03,1.857,
1996-04,1.906,
1996-05,1.874,
1996-06,1.895,
1996-07,1.962,
1996-08,2.037,
1996-09,2.222,
1996-10,2.257,
1996-11,2.202,
1996-12,2.336,
1997-01,2.371,
1997-02,2.405,
1997-03,2.405,
1997-04,2.422,
1997-05,2.503,
1997-06,2.631,
1997-07,2.622,
1997-08,2.653,
1997-09,2.733,
1997-10,2.672,
1997-11,2.628,
1997-12,2.745,
1998-01,2.715,
1998-02,2.709,
1998-03,2.729,
1998-04,2.797,
1998-05,2.864,
1998-06,2.981,
1998-07,2.855,
1998-08,2.929,
1998-09,2.928,
1998-10,3.018,
1998-11,2.995,
1998-12,2.949,
1999-01,2.837,
1999-02,2.871,
1999-03,2.886,
1999-04,2.961,
1999-05,2.953,
1999-06,3.096,
1999-07,2.992,
1999-08,3.020,
1999-09,3.201,
1999-10,3.072,
1999-11,2.941,
1999-12,3.047,
2000-01,2.993,
2000-02,2.980,
2000-03,2.993,
2000-04,3.075,
2000-05,3.097,
2000-06,3.203,
2000-07,3.153,
2000-08,3.117,
2000-09,3.201,
2000-10,3.262,
2000-11,3.187,
2000-12,3.360,
2001-01,3.288,
2001-02,3.316,
2001-03,2.954,
2001-04,2.638,
2001-05,2.333,
2001-06,2.001,
2001-07,1.723,
2001-08,1.708,
2001-09,1.745,
2001-10,1.654,
2001-11,1.763,
2001-12,1.750,
2002-01,1.686,
2002-02,1.671,
2002-03,1.686,
2002-04,1.606,
2002-05,1.568,
2002-06,1.687,
2002-07,1.627,
2002-08,1.585,
2002-09,1.547,
2002-10,1.489,
2002-11,1.535,
2002-12,1.631,
2003-01,1.500,
2003-02,1.420,
2003-03,1.417,
2003-04,1.459,
2003-05,1.516,
2003-06,1.554,
2003-07,1.496,
2003-08,1.583,
2003-09,1.608,
2003-10,1.579,
2003-11,1.622,
2003-12,1.546,
2004-01,1.588,
2004-02,1.541,
2004-03,1.615,
2004-04,1.661,
2004-05,1.734,
2004-06,1.798,
2004-07,1.736,
2004-08,1.806,
2004-09,1.872,
2004-10,1.645,
2004-11,1.747,
2004-12,1.761,
2005-01,1.583,
2005-02,1.555,
2005-03,1.533,
2005-04,1.572,
2005-05,1.666,
2005-06,1.730,
2005-07,1.716,
2005-08,1.657,
2005-09,1.689,
2005-10,1.683,
2005-11,1.385,
2005-12,1.534,
2006-01,1.362,
2006-02,1.406,
2006-03,1.581,
2006-04,1.508,
2006-05,1.625,
2006-06,1.565,
2006-07,1.585,
2006-08,1.520,
2006-09,1.553,
2006-10,1.544,
2006-11,1.485,
2006-12,1.695,
2007-01,1.777,
2007-02,1.734,
2007-03,1.699,
2007-04,1.736,
2007-05,1.583,
2007-06,1.590,
2007-07,1.569,
2007-08,1.577,
2007-09,1.643,
2007-10,1.575,
2007-11,1.651,
2007-12,1.655,
2008-01,1.589,
2008-02,1.573,
2008-03,1.623,
2008-04,1.574,
2008-05,1.622,
2008-06,1.658,
2008-07,1.687,
2008-08,1.684,
2008-09,1.751,
2008-10,1.700,
2008-11,1.733,
2008-12,1.798,
2009-01,1.727,
2009-02,1.728,
2009-03,1.763,
2009-04,1.917,
2009-05,1.889,
2009-06,1.912,
2009-07,1.973,
2009-08,1.985,
2009-09,1.896,
2009-10,1.958,
2009-11,1.973,
2009-12,1.646,
2010-01,1.687,
2010-02,1.710,
2010-03,1.712,
2010-04,1.721,
2010-05,1.872,
2010-06,1.734,
2010-07,1.790,
2010-08,1.920,
2010-09,1.847,
2010-10,2.126,
2010-11,2.253,
2010-12,2.357,
2011-01,2.285,
2011-02,2.335,
2011-03,2.417,
2011-04,2.346,
2011-05,2.457,
2011-06,2.283,
2011-07,2.404,
2011-08,2.594,
2011-09,2.579,
2011-10,2.527,
2011-11,2.636,
2011-12,2.570,
2012-01,2.648,
2012-02,2.640,
2012-03,2.656,
2012-04,2.505,
2012-05,2.619,
2012-06,2.591,
2012-07,2.674,
2012-08,2.735,
2012-09,3.087,
2012-10,2.704,
2012-11,2.785,
2012-12,2.993,
2013-01,2.865,
2013-02,2.947,
2013-03,3.025,
2013-04,3.068,
2013-05,3.159,
2013-06,2.995,
2013-07,2.869,
2013-08,3.264,
2013-09,3.485,
2013-10,3.230,
2013-11,3.216,
2013-12,3.177,
2014-01,3.228,
2014-02,3.314,
2014-03,3.343,
2014-04,3.380,
2014-05,3.480,
2014-06,3.391,
2014-07,3.477,
2014-08,3.564,
2014-09,3.828,
2014-10,3.996,
2014-11,4.143,
2014-12,4.193,
