"",BBK01.OEBM03Q,BBK01.OEBM03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:32,
2002-01,0.236,
2002-04,0.233,
2002-07,0.234,
2002-10,0.168,
2003-01,0.199,
2003-04,0.164,
2003-07,0.188,
2003-10,0.174,
2004-01,0.090,
2004-04,0.064,
2004-07,0.052,
2004-10,0.062,
2005-01,0.059,
2005-04,0.056,
2005-07,0.041,
2005-10,0.080,
2006-01,0.069,
2006-04,0.069,
2006-07,0.085,
2006-10,0.078,
2007-01,0.080,
2007-04,0.098,
2007-07,0.092,
2007-10,0.088,
2008-01,0.093,
2008-04,0.116,
2008-07,0.101,
2008-10,0.107,
2009-01,0.065,
2009-04,0.072,
2009-07,0.051,
2009-10,0.030,
2010-01,0.027,
2010-04,0.025,
2010-07,0.025,
2010-10,0.011,
2011-01,0.012,
2011-04,0.025,
2011-07,0.025,
2011-10,0.026,
2012-01,0.045,
2012-04,0.054,
2012-07,0.073,
2012-10,0.058,
2013-01,0.061,
2013-04,0.048,
2013-07,0.044,
2013-10,0.049,
2014-01,0.038,
2014-04,0.038,
2014-07,0.033,
