"",BBEX3.M.AOA.EUR.CA.AB.A01,BBEX3.M.AOA.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Angola / EUR 1 = AOA ... (selling),
unit,AOA (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:40,
1999-12,5.68733,comment
2000-01,5.86105,
2000-02,5.77152,
2000-03,5.78794,
2000-04,6.32210,
2000-05,8.10206,
2000-06,9.96971,
2000-07,10.67167,
2000-08,11.23196,
2000-09,11.54047,
2000-10,11.76360,
2000-11,13.05968,
2000-12,15.75456,
2001-01,17.27353,
2001-02,17.90299,
2001-03,17.46454,
2001-04,17.75926,
2001-05,16.98725,
2001-06,17.30817,
2001-07,18.72326,
2001-08,20.47491,
2001-09,22.39287,
2001-10,24.03483,
2001-11,25.57452,
2001-12,28.29924,
2002-01,29.64706,
2002-02,31.44956,
2002-03,32.83128,
2002-04,35.58226,
2002-05,39.00147,
2002-06,43.20307,
2002-07,44.90960,
2002-08,47.05056,
2002-09,48.82086,
2002-10,51.28631,
2002-11,55.09201,
2002-12,61.41161,
2003-01,68.66876,
2003-02,72.18622,
2003-03,73.70177,
2003-04,78.81045,
2003-05,87.53665,
2003-06,90.20018,
2003-07,95.88177,
2003-08,93.87459,
2003-09,90.71437,
2003-10,91.86984,
2003-11,93.24314,
2003-12,99.01875,comment
2004-01,100.75849,
2004-02,100.01189,
2004-03,98.71920,
2004-04,97.04863,
2004-05,101.44263,
2004-06,101.79359,
2004-07,101.39392,
2004-08,102.97211,
2004-09,107.39467,
2004-10,111.04125,
2004-11,115.29088,
2004-12,116.94454,
2005-01,113.99275,
2005-02,115.65755,
2005-03,113.21582,
2005-04,114.01878,
2005-05,111.79256,
2005-06,107.66277,
2005-07,108.02905,
2005-08,109.28183,
2005-09,107.83264,
2005-10,106.79618,
2005-11,95.79418,
2005-12,96.02721,
2006-01,97.46394,
2006-02,95.99129,
2006-03,97.13763,
2006-04,100.25241,
2006-05,102.74120,
2006-06,101.08823,
2006-07,102.24201,
2006-08,103.39475,
2006-09,102.23096,
2006-10,102.47672,
2006-11,106.17045,comment
2006-12,105.78760,
2007-01,104.29824,
2007-02,106.05271,
2007-03,106.97966,
2007-04,107.49400,
2007-05,100.98800,
2007-06,101.07100,
2007-07,102.55200,
2007-08,102.48800,
2007-09,106.36200,
2007-10,108.29500,
2007-11,110.88500,
2007-12,110.49900,
2008-01,111.24100,
2008-02,113.82300,
2008-03,118.70700,
2008-04,117.07500,
2008-05,116.81700,
2008-06,118.40200,
2008-07,116.91000,
2008-08,110.69900,
2008-09,108.28400,
2008-10,97.51000,
2008-11,97.20700,
2008-12,106.46300,
2009-01,98.89800,
2009-02,96.65300,
2009-03,100.43700,
2009-04,101.95400,
2009-05,108.94300,
2009-06,109.80100,
2009-07,109.80100,
2009-08,112.13300,
2009-09,113.61500,
2009-10,125.04700,
2009-11,131.38500,
2009-12,128.52600,
2010-01,126.51200,
2010-02,122.21400,
2010-03,125.47900,
2010-04,123.69800,
2010-05,114.54000,
2010-06,114.79700,
2010-07,120.95000,
2010-08,115.00800,
2010-09,125.31000,
2010-10,128.49300,
2010-11,122.67000,
2010-12,123.02100,
2011-01,128.08100,
2011-02,128.42600,
2011-03,132.19300,
2011-04,137.21400,
2011-05,133.57700,
2011-06,133.90700,
2011-07,135.59000,
2011-08,135.77200,
2011-09,128.41500,comment
2011-10,135.41500,
2011-11,127.86900,
2011-12,123.42000,
2012-01,125.61300,
2012-02,128.35100,
2012-03,127.26900,
2012-04,126.44600,
2012-05,118.98200,
2012-06,119.22700,
2012-07,116.97500,
2012-08,119.97900,
2012-09,123.07000,
2012-10,123.99000,
2012-11,123.65200,
2012-12,126.67100,
2013-01,130.35100,
2013-02,125.90800,
2013-03,122.86700,
2013-04,126.01700,
2013-05,124.81900,
2013-06,125.72000,
2013-07,127.84500,
2013-08,127.64200,
2013-09,131.97500,
2013-10,133.92600,
2013-11,132.78600,
2013-12,134.71700,
2014-01,132.87200,
2014-02,133.60900,
2014-03,134.65800,
2014-04,135.27800,
2014-05,133.34400,
2014-06,133.31300,
2014-07,130.26300,
2014-08,128.68300,
2014-09,124.89200,
2014-10,125.53200,
2014-11,126.17000,
2014-12,125.27800,
2015-01,118.43500,
"","General: With effect from 13 December 1999, a currency changeover took place to the ratio of 1,000,000 AOR (readjusted kwanza) = 1 AOA (kwanza).",
"","Source: Banco Nacional de Angola, Luanda.",
"","Comment on 1999-12: With effect from 13 December 1999, a currency changeover took place. We recorded the following exchange rates (buying/selling rate).10 December 1999: EUR 1 = AOR 5,531,426 / 5,622,07713 December 1999: EUR 1 = AOA 5.50 / 5.60.",
"",Comment on 2003-12: Exchange rate as of 5 January 2004.,
"",Comment on 2006-11: Exchange rate as of 1 December 2006.,
"",Comment on 2011-09: Exchange rate as of 3 October 2011.,
