"",BBFN1.M.DE.N.1.A.UA.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.UA.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Ukraine,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:55,
1994-07,0.199,
1994-08,0.203,
1994-09,0.202,
1994-10,0.200,
1994-11,0.205,
1994-12,0.214,
1995-01,0.188,
1995-02,0.186,
1995-03,0.191,
1995-04,0.198,
1995-05,0.196,
1995-06,0.202,
1995-07,0.211,
1995-08,0.211,
1995-09,0.212,
1995-10,0.283,
1995-11,0.286,
1995-12,0.278,
1996-01,0.276,
1996-02,0.278,
1996-03,0.289,
1996-04,0.288,
1996-05,0.305,
1996-06,0.324,
1996-07,0.357,
1996-08,0.352,
1996-09,0.368,
1996-10,0.333,
1996-11,0.330,
1996-12,0.370,
1997-01,0.372,
1997-02,0.390,
1997-03,0.396,
1997-04,0.410,
1997-05,0.400,
1997-06,0.406,
1997-07,0.413,
1997-08,0.457,
1997-09,0.456,
1997-10,0.464,
1997-11,0.467,
1997-12,0.481,
1998-01,0.472,
1998-02,0.503,
1998-03,0.489,
1998-04,0.500,
1998-05,0.493,
1998-06,0.514,
1998-07,0.507,
1998-08,0.523,
1998-09,0.435,
1998-10,0.440,
1998-11,0.434,
1998-12,0.396,
1999-01,0.387,
1999-02,0.356,
1999-03,0.364,
1999-04,0.341,
1999-05,0.380,
1999-06,0.387,
1999-07,0.382,
1999-08,0.378,
1999-09,0.372,
1999-10,0.376,
1999-11,0.380,
1999-12,0.373,
2000-01,0.372,
2000-02,0.365,
2000-03,0.364,
2000-04,0.369,
2000-05,0.364,
2000-06,0.348,
2000-07,0.350,
2000-08,0.352,
2000-09,0.342,
2000-10,0.353,
2000-11,0.366,
2000-12,0.374,
2001-01,0.379,
2001-02,0.385,
2001-03,0.381,
2001-04,0.398,
2001-05,0.388,
2001-06,0.421,
2001-07,0.399,
2001-08,0.392,
2001-09,0.420,
2001-10,0.427,
2001-11,0.432,
2001-12,0.409,
2002-01,0.382,
2002-02,0.385,
2002-03,0.392,
2002-04,0.406,
2002-05,0.391,
2002-06,0.388,
2002-07,0.375,
2002-08,0.376,
2002-09,0.384,
2002-10,0.370,
2002-11,0.402,
2002-12,0.401,
2003-01,0.389,
2003-02,0.368,
2003-03,0.376,
2003-04,0.386,
2003-05,0.388,
2003-06,0.397,
2003-07,0.388,
2003-08,0.392,
2003-09,0.397,
2003-10,0.402,
2003-11,0.422,
2003-12,0.429,
2004-01,0.423,
2004-02,0.435,
2004-03,0.442,
2004-04,0.449,
2004-05,0.458,
2004-06,0.468,
2004-07,0.455,
2004-08,0.460,
2004-09,0.451,
2004-10,0.443,
2004-11,0.450,
2004-12,0.432,
2005-01,0.443,
2005-02,0.466,
2005-03,0.503,
2005-04,0.503,
2005-05,0.504,
2005-06,0.545,
2005-07,0.519,
2005-08,0.487,
2005-09,0.495,
2005-10,0.510,
2005-11,0.535,
2005-12,0.503,
2006-01,0.487,
2006-02,0.491,
2006-03,0.510,
2006-04,0.486,
2006-05,0.472,
2006-06,0.497,
2006-07,0.484,
2006-08,0.488,
2006-09,0.527,
2006-10,0.527,
2006-11,0.519,
2006-12,0.507,
2007-01,0.488,
2007-02,0.562,
2007-03,0.625,
2007-04,0.636,
2007-05,0.647,
2007-06,0.678,
2007-07,0.678,
2007-08,0.676,
2007-09,0.717,
2007-10,0.747,
2007-11,0.688,
2007-12,0.669,
2008-01,0.689,
2008-02,0.758,
2008-03,0.749,
2008-04,0.796,
2008-05,0.800,
2008-06,0.838,
2008-07,0.877,
2008-08,0.823,
2008-09,0.813,
2008-10,0.820,
2008-11,0.850,
2008-12,0.837,
2009-01,0.774,
2009-02,0.718,
2009-03,0.690,
2009-04,0.648,
2009-05,0.623,
2009-06,0.610,
2009-07,0.611,
2009-08,0.611,
2009-09,0.594,
2009-10,0.593,
2009-11,0.578,
2009-12,0.539,
2010-01,0.541,
2010-02,0.535,
2010-03,0.579,
2010-04,0.580,
2010-05,0.618,
2010-06,0.629,
2010-07,0.633,
2010-08,0.713,
2010-09,0.716,
2010-10,0.719,
2010-11,0.717,
2010-12,0.671,
2011-01,0.688,
2011-02,0.757,
2011-03,0.744,
2011-04,0.736,
2011-05,0.802,
2011-06,0.773,
2011-07,0.782,
2011-08,0.777,
2011-09,0.740,
2011-10,0.757,
2011-11,0.767,
2011-12,0.656,
2012-01,0.658,
2012-02,0.702,
2012-03,0.713,
2012-04,0.759,
2012-05,0.801,
2012-06,0.796,
2012-07,0.821,
2012-08,0.802,
2012-09,0.783,
2012-10,0.734,
2012-11,0.752,
2012-12,0.710,
2013-01,0.705,
2013-02,0.751,
2013-03,0.821,
2013-04,0.847,
2013-05,0.849,
2013-06,1.055,
2013-07,0.870,
2013-08,0.856,
2013-09,0.829,
2013-10,0.816,
2013-11,0.872,
2013-12,0.787,
2014-01,0.730,
2014-02,0.778,
2014-03,0.787,
2014-04,0.766,
2014-05,0.771,
2014-06,0.770,
2014-07,0.751,
2014-08,0.761,
2014-09,0.735,
2014-10,0.695,
2014-11,0.668,
2014-12,0.643,
