"",BBK01.OEHM02H,BBK01.OEHM02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:29,
2002-01,1.170,
2002-04,1.176,
2002-07,1.250,
2002-10,1.448,
2003-01,1.138,
2003-04,1.261,
2003-07,1.305,
2003-10,1.492,
2004-01,1.232,
2004-04,1.304,
2004-07,1.435,
2004-10,1.633,
2005-01,1.380,
2005-04,1.547,
2005-07,1.612,
2005-10,1.820,
2006-01,1.511,
2006-04,1.766,
2006-07,1.730,
2006-10,2.027,
2007-01,1.639,
2007-04,1.873,
2007-07,1.772,
2007-10,2.406,
2008-01,1.756,
2008-04,1.823,
2008-07,1.869,
2008-10,2.535,
2009-01,2.594,
2009-04,3.082,
2009-07,3.241,
2009-10,3.762,
2010-01,3.320,
2010-04,3.444,
2010-07,3.463,
2010-10,3.773,
2011-01,2.997,
2011-04,2.942,
2011-07,2.978,
2011-10,3.497,
2012-01,3.284,
2012-04,3.789,
2012-07,4.225,
2012-10,4.708,
2013-01,4.229,
2013-04,4.459,
2013-07,4.902,
2013-10,5.101,
2014-01,4.196,
2014-04,4.455,
2014-07,4.660,
