"",BBK01.OEHI06O,BBK01.OEHI06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:58,
2002-01,3.862,
2002-04,3.909,
2002-07,3.920,
2002-10,3.953,
2003-01,3.743,
2003-04,3.630,
2003-07,3.585,
2003-10,3.635,
2004-01,3.605,
2004-04,3.635,
2004-07,3.732,
2004-10,3.895,
2005-01,3.934,
2005-04,3.912,
2005-07,3.862,
2005-10,3.921,
2006-01,4.030,
2006-04,4.228,
2006-07,4.394,
2006-10,4.684,
2007-01,5.201,
2007-04,5.700,
2007-07,6.191,
2007-10,6.731,
2008-01,7.003,
2008-04,7.310,
2008-07,7.726,
2008-10,7.565,
2009-01,7.486,
2009-04,6.453,
2009-07,5.645,
2009-10,5.283,
2010-01,4.919,
2010-04,4.680,
2010-07,4.572,
2010-10,4.741,
2011-01,4.831,
2011-04,5.083,
2011-07,5.226,
2011-10,5.397,
2012-01,5.384,
2012-04,5.313,
2012-07,5.173,
2012-10,5.254,
2013-01,4.807,
2013-04,4.630,
2013-07,4.448,
2013-10,4.510,
2014-01,4.210,
2014-04,4.074,
2014-07,3.939,
