"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.Z5.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.Z5.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:46,
2009-09,166966,
2009-10,168136,
2009-11,169907,
2009-12,173385,
2010-01,176293,
2010-02,178103,
2010-03,181965,
2010-04,182958,
2010-05,185933,
2010-06,185859,
2010-07,186631,
2010-08,194045,
2010-09,191641,
2010-10,192060,
2010-11,188208,
2010-12,186664,
2011-01,181051,
2011-02,181337,
2011-03,179738,
2011-04,179654,
2011-05,181248,
2011-06,179291,
2011-07,181183,
2011-08,185355,
2011-09,187567,
2011-10,185116,
2011-11,180992,
2011-12,188510,
2012-01,183861,
2012-02,187976,
2012-03,185334,
2012-04,186672,
2012-05,191203,
2012-06,189513,
2012-07,193200,
2012-08,193840,
2012-09,192254,
2012-10,193605,
2012-11,198188,
2012-12,200535,
2013-01,198900,
2013-02,201892,
2013-03,205056,
2013-04,209944,
2013-05,207639,
2013-06,205229,
2013-07,208403,
2013-08,206975,
2013-09,207649,
2013-10,205530,
2013-11,207649,
2013-12,205659,
2014-01,211482,
2014-02,213575,
2014-03,217375,
2014-04,217684,
2014-05,223613,
2014-06,223716,
2014-07,226275,
2014-08,232105,
2014-09,234046,
2014-10,234631,
2014-11,240646,
