"",BBK01.OEAC37H,BBK01.OEAC37H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:36,
2002-01,0.645,
2002-04,0.850,
2002-07,0.937,
2002-10,0.791,
2003-01,0.778,
2003-04,0.755,
2003-07,0.742,
2003-10,0.775,
2004-01,0.721,
2004-04,0.692,
2004-07,0.665,
2004-10,0.655,
2005-01,1.008,
2005-04,1.012,
2005-07,0.841,
2005-10,0.799,
2006-01,0.784,
2006-04,0.982,
2006-07,0.949,
2006-10,1.008,
2007-01,1.003,
2007-04,1.214,
2007-07,1.256,
2007-10,1.198,
2008-01,1.218,
2008-04,1.123,
2008-07,1.201,
2008-10,1.169,
2009-01,1.178,
2009-04,1.141,
2009-07,1.111,
2009-10,1.132,
2010-01,1.128,
2010-04,1.051,
2010-07,1.095,
2010-10,1.316,
2011-01,1.385,
2011-04,1.325,
2011-07,1.530,
2011-10,1.593,
2012-01,1.698,
2012-04,1.850,
2012-07,1.785,
2012-10,1.857,
2013-01,1.902,
2013-04,1.896,
2013-07,2.098,
2013-10,2.154,
2014-01,2.181,
2014-04,2.102,
2014-07,2.075,
