"",BBK01.OELB03S,BBK01.OELB03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:20,
2002-01,0.164,
2002-04,0.163,
2002-07,0.161,
2002-10,0.157,
2003-01,0.145,
2003-04,0.139,
2003-07,0.139,
2003-10,0.149,
2004-01,0.142,
2004-04,0.137,
2004-07,0.129,
2004-10,0.115,
2005-01,0.113,
2005-04,0.115,
2005-07,0.110,
2005-10,0.107,
2006-01,0.109,
2006-04,0.115,
2006-07,0.113,
2006-10,0.106,
2007-01,0.112,
2007-04,0.113,
2007-07,0.117,
2007-10,0.111,
2008-01,0.108,
2008-04,0.111,
2008-07,0.127,
2008-10,0.119,
2009-01,0.132,
2009-04,0.135,
2009-07,0.177,
2009-10,0.206,
2010-01,0.204,
2010-04,0.199,
2010-07,0.199,
2010-10,0.177,
2011-01,0.180,
2011-04,0.175,
2011-07,0.165,
2011-10,0.193,
2012-01,0.190,
2012-04,0.213,
2012-07,0.205,
2012-10,0.198,
2013-01,0.195,
2013-04,0.195,
2013-07,0.193,
2013-10,0.182,
2014-01,0.175,
2014-04,0.171,
2014-07,0.171,
