"",BBK01.OECJ02K,BBK01.OECJ02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:18,
2002-01,1.977,
2002-04,2.009,
2002-07,2.261,
2002-10,2.379,
2003-01,2.016,
2003-04,2.263,
2003-07,2.293,
2003-10,2.565,
2004-01,2.508,
2004-04,2.887,
2004-07,3.177,
2004-10,5.311,
2005-01,4.974,
2005-04,5.104,
2005-07,5.054,
2005-10,5.270,
2006-01,5.454,
2006-04,5.104,
2006-07,5.565,
2006-10,6.247,
2007-01,6.239,
2007-04,6.122,
2007-07,5.819,
2007-10,6.140,
2008-01,5.775,
2008-04,5.397,
2008-07,5.527,
2008-10,6.033,
2009-01,5.861,
2009-04,5.631,
2009-07,5.722,
2009-10,6.438,
2010-01,6.384,
2010-04,6.717,
2010-07,6.664,
2010-10,7.245,
2011-01,6.631,
2011-04,6.300,
2011-07,6.452,
2011-10,7.238,
2012-01,7.243,
2012-04,7.410,
2012-07,7.696,
2012-10,8.607,
2013-01,8.083,
2013-04,7.704,
2013-07,7.589,
2013-10,8.233,
2014-01,8.102,
2014-04,7.507,
2014-07,8.255,
