"",BBK01.OEAH80G,BBK01.OEAH80G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:35,
2002-01,0.207,
2002-04,0.198,
2002-07,0.197,
2002-10,0.193,
2003-01,0.165,
2003-04,0.163,
2003-07,0.165,
2003-10,0.149,
2004-01,0.119,
2004-04,0.136,
2004-07,0.169,
2004-10,0.132,
2005-01,0.126,
2005-04,0.117,
2005-07,0.119,
2005-10,0.106,
2006-01,0.094,
2006-04,0.091,
2006-07,0.099,
2006-10,0.092,
2007-01,0.082,
2007-04,0.083,
2007-07,0.081,
2007-10,0.083,
2008-01,0.079,
2008-04,0.078,
2008-07,0.078,
2008-10,0.084,
2009-01,0.080,
2009-04,0.086,
2009-07,0.103,
2009-10,0.111,
2010-01,0.118,
2010-04,0.123,
2010-07,0.106,
2010-10,0.103,
2011-01,0.110,
2011-04,0.112,
2011-07,0.107,
2011-10,0.100,
2012-01,0.101,
2012-04,0.101,
2012-07,0.096,
2012-10,0.088,
2013-01,0.097,
2013-04,0.098,
2013-07,0.105,
2013-10,0.101,
2014-01,0.087,
2014-04,0.085,
2014-07,0.074,
