"",BBK01.OXA7B3,BBK01.OXA7B3_FLAGS
"",Medium-term loans to Financial vehicle corporations (FVCs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:03,
2010-06,0.334,
2010-07,0.391,
2010-08,0.297,
2010-09,0.289,
2010-10,0.369,
2010-11,0.363,
2010-12,0.476,
2011-01,0.448,
2011-02,0.404,
2011-03,0.426,
2011-04,0.438,
2011-05,0.597,
2011-06,0.438,
2011-07,0.441,
2011-08,0.579,
2011-09,0.497,
2011-10,0.510,
2011-11,0.508,
2011-12,0.454,
2012-01,0.417,
2012-02,0.409,
2012-03,0.134,
2012-04,0.196,
2012-05,0.144,
2012-06,0.165,
2012-07,0.007,
2012-08,0.007,
2012-09,0.007,
2012-10,0.007,
2012-11,0.007,
2012-12,0.007,
2013-01,0.022,
2013-02,0.022,
2013-03,0.022,
2013-04,-,Nothing exists
2013-05,-,Nothing exists
2013-06,0.015,
2013-07,0.015,
2013-08,0.015,
2013-09,0.015,
2013-10,0.015,
2013-11,0.020,
2013-12,-,Nothing exists
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,-,Nothing exists
2014-04,0.016,
2014-05,0.015,
2014-06,-,Nothing exists
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,-,Nothing exists
2014-10,-,Nothing exists
2014-11,-,Nothing exists
2014-12,0.015,Provisional value
