"",BBK01.OEXB09V,BBK01.OEXB09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:33,
2002-01,4.435,
2002-04,4.611,
2002-07,4.683,
2002-10,4.565,
2003-01,4.469,
2003-04,4.259,
2003-07,4.357,
2003-10,4.436,
2004-01,4.440,
2004-04,4.325,
2004-07,4.324,
2004-10,4.311,
2005-01,4.211,
2005-04,4.188,
2005-07,4.030,
2005-10,4.032,
2006-01,4.035,
2006-04,4.063,
2006-07,3.912,
2006-10,4.044,
2007-01,3.987,
2007-04,4.012,
2007-07,3.997,
2007-10,4.228,
2008-01,4.245,
2008-04,4.228,
2008-07,4.311,
2008-10,4.357,
2009-01,4.332,
2009-04,4.339,
2009-07,4.355,
2009-10,4.513,
2010-01,4.395,
2010-04,4.403,
2010-07,4.441,
2010-10,4.597,
2011-01,4.600,
2011-04,4.619,
2011-07,4.746,
2011-10,4.827,
2012-01,4.846,
2012-04,4.993,
2012-07,5.028,
2012-10,5.153,
2013-01,5.151,
2013-04,5.101,
2013-07,5.039,
2013-10,5.047,
2014-01,5.220,
2014-04,5.556,
2014-07,5.682,
