"",BBSF2.M.1.S.I0015.GEF01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.GEF01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net sales receipts / Private non-profit institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:51,
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,-,Nothing exists
2004-06,-,Nothing exists
2004-07,-,Nothing exists
2004-08,-,Nothing exists
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,-,Nothing exists
2004-12,-,Nothing exists
2005-01,-,Nothing exists
2005-02,-,Nothing exists
2005-03,-,Nothing exists
2005-04,-53,
2005-05,-,Nothing exists
2005-06,-,Nothing exists
2005-07,-23,
2005-08,-154,
2005-09,-,Nothing exists
2005-10,-,Nothing exists
2005-11,0,
2005-12,0,
2006-01,2,
2006-02,4,
2006-03,0,
2006-04,0,
2006-05,1571,
2006-06,3079,
2006-07,25,
2006-08,-,Nothing exists
2006-09,200,
2006-10,11,
2006-11,-37,
2006-12,75,
2007-01,16,
2007-02,1962,
2007-03,1,
2007-04,-328,
2007-05,100,
2007-06,-178,
2007-07,244,
2007-08,-,Nothing exists
2007-09,-138,
2007-10,246,
2007-11,134,
2007-12,-11,
2008-01,-135,
2008-02,2,
2008-03,31,
2008-04,665,
2008-05,-358,
2008-06,57,
2008-07,-51,
2008-08,0,
2008-09,-32,
2008-10,-475,
2008-11,405,
2008-12,12,
2009-01,325,
2009-02,-26,
2009-03,16,
2009-04,93,
2009-05,710,
2009-06,1269,
2009-07,255,
2009-08,74,
2009-09,232,
2009-10,382,
2009-11,41,
2009-12,269,
2010-01,362,
2010-02,-11,
2010-03,51,
2010-04,156,
2010-05,162,
2010-06,24,
2010-07,172,
2010-08,-21,
2010-09,113,
2010-10,185,
2010-11,47,
2010-12,-1,
2011-01,69,
2011-02,25,
2011-03,20,
2011-04,119,
2011-05,-34,
2011-06,56,
2011-07,-12,
2011-08,13,
2011-09,144,
2011-10,70,
2011-11,44,
2011-12,90,
2012-01,99,
2012-02,32,
2012-03,42,
2012-04,81,
2012-05,-5,
2012-06,4,
2012-07,125,
2012-08,74,
2012-09,-70,
2012-10,-375,
2012-11,-569,
2012-12,169,
2013-01,67,
2013-02,54,
2013-03,25,
2013-04,91,
2013-05,35,
2013-06,196,
2013-07,48,
2013-08,-17,
2013-09,24,
2013-10,-79,
2013-11,-299,
2013-12,2193,
2014-01,-157,
2014-02,-27,
2014-03,73,
2014-04,-14,
2014-05,70,
2014-06,-11,
2014-07,-99,
2014-08,1,
2014-09,0,
2014-10,84,
2014-11,-41,
