"",BBK01.RJ7474,BBK01.RJ7474_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:35:01,
1989,-,Nothing exists
1990,-,Nothing exists
1991,-,Nothing exists
1992,-,Nothing exists
1993,-,Nothing exists
1994,-,Nothing exists
1995,-,Nothing exists
1996,-,Nothing exists
1997,.,No value available
1998,.,No value available
1999,14,
2000,15,
2001,-27,
2002,233,
2003,20,
2004,20,
2005,.,No value available
2006,.,No value available
2007,30,
2008,25,
2009,.,No value available
2010,21,
2011,27,
2012,.,No value available
