"",BBK01.OEHJ01G,BBK01.OEHJ01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:12,
2002-01,9.348,
2002-04,9.590,
2002-07,9.993,
2002-10,10.353,
2003-01,9.778,
2003-04,9.755,
2003-07,9.785,
2003-10,10.362,
2004-01,9.567,
2004-04,9.690,
2004-07,9.917,
2004-10,11.030,
2005-01,10.218,
2005-04,10.375,
2005-07,10.786,
2005-10,11.709,
2006-01,10.819,
2006-04,10.873,
2006-07,11.383,
2006-10,12.170,
2007-01,11.560,
2007-04,11.265,
2007-07,11.383,
2007-10,11.668,
2008-01,11.405,
2008-04,11.726,
2008-07,12.046,
2008-10,13.063,
2009-01,12.857,
2009-04,13.551,
2009-07,14.309,
2009-10,15.867,
2010-01,15.299,
2010-04,15.473,
2010-07,15.804,
2010-10,16.354,
2011-01,15.495,
2011-04,15.556,
2011-07,16.069,
2011-10,17.087,
2012-01,16.584,
2012-04,16.987,
2012-07,17.691,
2012-10,18.166,
2013-01,17.343,
2013-04,17.503,
2013-07,18.247,
2013-10,19.093,
2014-01,18.934,
2014-04,19.062,
2014-07,19.712,
