"",BBK01.OEAE07T,BBK01.OEAE07T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:04,
2002-01,0.624,
2002-04,0.620,
2002-07,0.636,
2002-10,0.630,
2003-01,0.627,
2003-04,0.628,
2003-07,0.625,
2003-10,0.636,
2004-01,0.631,
2004-04,0.659,
2004-07,0.643,
2004-10,0.675,
2005-01,0.672,
2005-04,0.682,
2005-07,0.689,
2005-10,0.695,
2006-01,0.676,
2006-04,0.677,
2006-07,0.670,
2006-10,0.676,
2007-01,0.671,
2007-04,0.682,
2007-07,0.686,
2007-10,0.700,
2008-01,0.683,
2008-04,0.688,
2008-07,0.683,
2008-10,0.689,
2009-01,0.682,
2009-04,0.716,
2009-07,0.722,
2009-10,0.684,
2010-01,0.737,
2010-04,0.745,
2010-07,0.817,
2010-10,0.797,
2011-01,0.810,
2011-04,0.815,
2011-07,0.831,
2011-10,0.836,
2012-01,0.844,
2012-04,1.003,
2012-07,1.037,
2012-10,1.032,
2013-01,1.069,
2013-04,1.068,
2013-07,1.071,
2013-10,1.075,
2014-01,1.095,
2014-04,1.094,
2014-07,1.040,
