"",BBK01.OEBB04J,BBK01.OEBB04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:58,
2002-01,3.060,
2002-04,3.016,
2002-07,2.975,
2002-10,3.022,
2003-01,2.987,
2003-04,2.960,
2003-07,2.944,
2003-10,2.901,
2004-01,2.893,
2004-04,2.913,
2004-07,2.926,
2004-10,2.792,
2005-01,3.457,
2005-04,3.529,
2005-07,3.545,
2005-10,3.697,
2006-01,3.680,
2006-04,3.710,
2006-07,3.666,
2006-10,3.545,
2007-01,3.422,
2007-04,3.494,
2007-07,3.506,
2007-10,3.409,
2008-01,3.402,
2008-04,3.525,
2008-07,3.587,
2008-10,3.560,
2009-01,3.589,
2009-04,3.591,
2009-07,3.546,
2009-10,3.527,
2010-01,3.539,
2010-04,3.513,
2010-07,3.475,
2010-10,3.401,
2011-01,3.380,
2011-04,3.327,
2011-07,3.350,
2011-10,3.381,
2012-01,3.385,
2012-04,9.125,
2012-07,8.818,
2012-10,3.628,
2013-01,3.613,
2013-04,3.499,
2013-07,3.526,
2013-10,3.477,
2014-01,3.551,
2014-04,3.543,
2014-07,3.449,
