"",BBK01.QUW544,BBK01.QUW544_FLAGS
"",Foreign branches: Short-term loans and advances to foreign banks / Hong Kong / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:51:34,
2001-12,4.417,
2002-01,4.176,
2002-02,4.376,
2002-03,4.123,
2002-04,4.239,
2002-05,4.194,
2002-06,3.489,
2002-07,4.542,
2002-08,4.027,
2002-09,4.827,
2002-10,4.451,
2002-11,4.162,
2002-12,3.857,
2003-01,3.813,
2003-02,4.265,
2003-03,3.812,
2003-04,4.646,
2003-05,3.575,
2003-06,4.048,
2003-07,5.010,
2003-08,4.576,
2003-09,5.429,
2003-10,4.292,
2003-11,4.881,
2003-12,4.499,
2004-01,5.803,
2004-02,5.468,
2004-03,5.308,
2004-04,4.783,
2004-05,5.542,
2004-06,6.813,
2004-07,7.018,
2004-08,5.111,
2004-09,4.945,
2004-10,5.155,
2004-11,4.415,
2004-12,5.546,
2005-01,4.696,
2005-02,4.781,
2005-03,5.044,
2005-04,4.525,
2005-05,4.151,
2005-06,4.042,
2005-07,5.218,
2005-08,4.824,
2005-09,4.319,
2005-10,6.123,
2005-11,5.407,
2005-12,5.418,
2006-01,5.226,
2006-02,4.734,
2006-03,5.483,
2006-04,5.170,
2006-05,4.264,
2006-06,5.069,
2006-07,4.542,
2006-08,4.622,
2006-09,5.046,
2006-10,5.368,
2006-11,4.711,
2006-12,4.823,
2007-01,4.223,
2007-02,4.672,
2007-03,3.792,
2007-04,3.897,
2007-05,4.309,
2007-06,5.040,
2007-07,5.451,
2007-08,6.977,
2007-09,4.993,
2007-10,7.080,
2007-11,6.508,
2007-12,5.723,
2008-01,6.805,
2008-02,6.890,
2008-03,6.911,
2008-04,6.648,
2008-05,6.361,
2008-06,6.957,
2008-07,6.049,
2008-08,5.717,
2008-09,5.420,
2008-10,7.676,
2008-11,5.506,
2008-12,5.595,
2009-01,5.240,
2009-02,6.086,
2009-03,5.682,
2009-04,6.013,
2009-05,5.839,
2009-06,5.876,
2009-07,4.701,
2009-08,5.985,
2009-09,5.590,
2009-10,5.776,
2009-11,5.019,
2009-12,6.245,
2010-01,5.704,
2010-02,4.947,
2010-03,5.771,
2010-04,5.920,
2010-05,9.032,
2010-06,8.258,
2010-07,6.318,
2010-08,8.311,
2010-09,8.407,
2010-10,8.624,
2010-11,9.519,
2010-12,7.621,
2011-01,8.559,
2011-02,9.782,
2011-03,8.345,
2011-04,9.074,
2011-05,8.553,
2011-06,7.639,
2011-07,6.335,
2011-08,5.797,
2011-09,6.461,
2011-10,5.971,
2011-11,5.366,
2011-12,5.564,
2012-01,5.864,
2012-02,5.653,
2012-03,5.782,
2012-04,6.001,
2012-05,5.995,
2012-06,4.979,
2012-07,5.178,
2012-08,5.349,
2012-09,5.100,
2012-10,4.865,
2012-11,5.037,
2012-12,5.435,
2013-01,5.807,
2013-02,6.736,
2013-03,5.821,
2013-04,5.282,
2013-05,5.087,
2013-06,4.503,
2013-07,2.801,
2013-08,3.112,
2013-09,3.639,
2013-10,2.584,
2013-11,3.021,
2013-12,2.781,
2014-01,2.784,
2014-02,2.979,
2014-03,4.376,
2014-04,4.656,
2014-05,4.120,
2014-06,3.799,
2014-07,3.891,
2014-08,3.968,
2014-09,3.658,
2014-10,4.027,
2014-11,3.549,
