"",BBFB1.Q.N.DE.TW.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.TW.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Direct investment / Taiwan, Province of China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:22,
1991-01,3.236,
1991-04,4.252,
1991-07,8.607,
1991-10,3.500,
1992-01,6.312,
1992-04,2.296,
1992-07,12.882,
1992-10,5.283,
1993-01,4.345,
1993-04,7.234,
1993-07,-3.251,
1993-10,13.188,
1994-01,5.985,
1994-04,13.863,
1994-07,13.921,
1994-10,16.403,
1995-01,9.718,
1995-04,-1.991,
1995-07,12.801,
1995-10,32.923,
1996-01,10.015,
1996-04,-7.870,
1996-07,1.409,
1996-10,98.235,
1997-01,51.351,
1997-04,58.817,
1997-07,136.841,
1997-10,175.558,
1998-01,35.294,
1998-04,38.191,
1998-07,42.801,
1998-10,25.732,
1999-01,-48.240,
1999-04,-28.826,
1999-07,10.493,
1999-10,-2.257,
2000-01,-32.848,
2000-04,60.036,
2000-07,32.371,
2000-10,-16.826,
2001-01,-26.007,
2001-04,-15.360,
2001-07,-54.890,
2001-10,57.503,
2002-01,17.421,
2002-04,-1.795,
2002-07,43.424,
2002-10,1.281,
2003-01,-21.876,
2003-04,-86.176,
2003-07,-318.422,
2003-10,95.981,
2004-01,133.581,
2004-04,67.475,
2004-07,210.959,
2004-10,47.826,
2005-01,27.136,
2005-04,29.207,
2005-07,79.212,
2005-10,3.879,
2006-01,14.245,
2006-04,46.096,
2006-07,62.309,
2006-10,12.556,
2007-01,78.360,
2007-04,178.959,
2007-07,-11.124,
2007-10,-8.963,
2008-01,12.348,
2008-04,30.998,
2008-07,-51.312,
2008-10,-352.262,
2009-01,-39.870,
2009-04,76.278,
2009-07,67.957,
2009-10,-20.577,
2010-01,106.519,
2010-04,64.725,
2010-07,3.554,
2010-10,-1.306,
2011-01,80.278,
2011-04,-10.110,
2011-07,59.208,
2011-10,25.499,
2012-01,45.741,
2012-04,43.269,
2012-07,78.265,
2012-10,53.069,
2013-01,28.858,
2013-04,61.642,
2013-07,66.531,
2013-10,0.540,
2014-01,50.643,Provisional value
2014-04,28.956,Provisional value
2014-07,69.735,Provisional value
2014-10,-104.177,Provisional value
