"",BBK01.OEAC18I,BBK01.OEAC18I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:31,
2002-01,0.596,
2002-04,0.144,
2002-07,0.248,
2002-10,0.129,
2003-01,0.147,
2003-04,0.180,
2003-07,0.141,
2003-10,0.158,
2004-01,0.219,
2004-04,0.226,
2004-07,0.215,
2004-10,0.202,
2005-01,0.209,
2005-04,0.161,
2005-07,0.139,
2005-10,0.180,
2006-01,0.238,
2006-04,0.202,
2006-07,0.308,
2006-10,0.175,
2007-01,0.249,
2007-04,0.205,
2007-07,0.337,
2007-10,0.298,
2008-01,0.261,
2008-04,0.274,
2008-07,0.320,
2008-10,0.272,
2009-01,0.341,
2009-04,0.250,
2009-07,0.152,
2009-10,0.183,
2010-01,0.330,
2010-04,0.375,
2010-07,0.183,
2010-10,0.139,
2011-01,0.166,
2011-04,0.238,
2011-07,0.394,
2011-10,0.368,
2012-01,0.447,
2012-04,0.397,
2012-07,0.523,
2012-10,0.420,
2013-01,0.409,
2013-04,0.410,
2013-07,0.375,
2013-10,0.485,
2014-01,0.381,
2014-04,0.326,
2014-07,0.264,
