"",BBK01.OEHB01G,BBK01.OEHB01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:02,
2002-01,85.174,
2002-04,85.160,
2002-07,85.241,
2002-10,85.334,
2003-01,84.959,
2003-04,85.216,
2003-07,85.710,
2003-10,85.745,
2004-01,85.528,
2004-04,85.757,
2004-07,86.146,
2004-10,86.191,
2005-01,86.049,
2005-04,86.356,
2005-07,87.086,
2005-10,87.687,
2006-01,88.150,
2006-04,88.911,
2006-07,89.392,
2006-10,89.835,
2007-01,89.942,
2007-04,90.562,
2007-07,91.248,
2007-10,92.020,
2008-01,92.283,
2008-04,93.195,
2008-07,94.217,
2008-10,94.774,
2009-01,94.756,
2009-04,95.702,
2009-07,96.473,
2009-10,96.705,
2010-01,96.578,
2010-04,97.524,
2010-07,98.083,
2010-10,98.690,
2011-01,98.539,
2011-04,99.464,
2011-07,100.224,
2011-10,100.991,
2012-01,101.458,
2012-04,102.118,
2012-07,103.283,
2012-10,104.111,
2013-01,104.060,
2013-04,104.704,
2013-07,105.692,
2013-10,105.885,
2014-01,106.217,
2014-04,107.002,
2014-07,107.868,
