"",BBK01.OEHL05Q,BBK01.OEHL05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:58,
2002-01,0.031,
2002-04,0.040,
2002-07,0.044,
2002-10,0.050,
2003-01,0.053,
2003-04,0.068,
2003-07,0.073,
2003-10,0.085,
2004-01,0.097,
2004-04,0.109,
2004-07,0.121,
2004-10,0.133,
2005-01,0.143,
2005-04,0.154,
2005-07,0.161,
2005-10,0.165,
2006-01,0.194,
2006-04,0.247,
2006-07,0.256,
2006-10,0.255,
2007-01,0.232,
2007-04,0.227,
2007-07,0.220,
2007-10,0.210,
2008-01,0.203,
2008-04,0.192,
2008-07,0.188,
2008-10,0.180,
2009-01,0.177,
2009-04,0.211,
2009-07,0.217,
2009-10,0.233,
2010-01,0.243,
2010-04,0.239,
2010-07,0.227,
2010-10,0.231,
2011-01,0.214,
2011-04,0.216,
2011-07,0.220,
2011-10,0.223,
2012-01,0.230,
2012-04,0.234,
2012-07,0.227,
2012-10,0.222,
2013-01,0.214,
2013-04,0.212,
2013-07,0.205,
2013-10,0.207,
2014-01,0.208,
2014-04,0.225,
2014-07,0.222,
