"",BBEX3.D.AUD.EUR.BB.AC.000,BBEX3.D.AUD.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = AUD ... / Australia,
unit,AUD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 14:57:17,
1999-01-01,.,No value available
1999-01-02,.,No value available
1999-01-03,.,No value available
1999-01-04,1.9100,
1999-01-05,1.8944,
1999-01-06,1.8820,
1999-01-07,1.8474,
1999-01-08,1.8406,
1999-01-09,.,No value available
1999-01-10,.,No value available
1999-01-11,1.8134,
1999-01-12,1.8090,
1999-01-13,1.8620,
1999-01-14,1.8353,
1999-01-15,1.8388,
1999-01-16,.,No value available
1999-01-17,.,No value available
1999-01-18,1.8292,
1999-01-19,1.8295,
1999-01-20,1.8064,
1999-01-21,1.8171,
1999-01-22,1.8225,
1999-01-23,.,No value available
1999-01-24,.,No value available
1999-01-25,1.8317,
1999-01-26,1.8391,
1999-01-27,1.8313,
1999-01-28,1.8262,
1999-01-29,1.8087,
1999-01-30,.,No value available
1999-01-31,.,No value available
1999-02-01,1.7882,
1999-02-02,1.7741,
1999-02-03,1.7609,
1999-02-04,1.7541,
1999-02-05,1.7294,
1999-02-06,.,No value available
1999-02-07,.,No value available
1999-02-08,1.7230,
1999-02-09,1.7548,
1999-02-10,1.7569,
1999-02-11,1.7427,
1999-02-12,1.7459,
1999-02-13,.,No value available
1999-02-14,.,No value available
1999-02-15,1.7353,
1999-02-16,1.7467,
1999-02-17,1.7751,
1999-02-18,1.7687,
1999-02-19,1.7502,
1999-02-20,.,No value available
1999-02-21,.,No value available
1999-02-22,1.7237,
1999-02-23,1.7145,
1999-02-24,1.7465,
1999-02-25,1.7566,
1999-02-26,1.7819,
1999-02-27,.,No value available
1999-02-28,.,No value available
1999-03-01,1.7766,
1999-03-02,1.7492,
1999-03-03,1.7454,
1999-03-04,1.7494,
1999-03-05,1.7329,
1999-03-06,.,No value available
1999-03-07,.,No value available
1999-03-08,1.7348,
1999-03-09,1.7125,
1999-03-10,1.7237,
1999-03-11,1.7144,
1999-03-12,1.7247,
1999-03-13,.,No value available
1999-03-14,.,No value available
1999-03-15,1.7325,
1999-03-16,1.7365,
1999-03-17,1.7502,
1999-03-18,1.7458,
1999-03-19,1.7316,
1999-03-20,.,No value available
1999-03-21,.,No value available
1999-03-22,1.7174,
1999-03-23,1.7044,
1999-03-24,1.7094,
1999-03-25,1.7102,
1999-03-26,1.6998,
1999-03-27,.,No value available
1999-03-28,.,No value available
1999-03-29,1.6904,
1999-03-30,1.7003,
1999-03-31,1.7060,
1999-04-01,1.6928,
1999-04-02,1.6992,
1999-04-03,.,No value available
1999-04-04,.,No value available
1999-04-05,1.6956,
1999-04-06,1.7063,
1999-04-07,1.7213,
1999-04-08,1.7324,
1999-04-09,1.7162,
1999-04-10,.,No value available
1999-04-11,.,No value available
1999-04-12,1.7106,
1999-04-13,1.6920,
1999-04-14,1.6886,
1999-04-15,1.6981,
1999-04-16,1.6535,
1999-04-17,.,No value available
1999-04-18,.,No value available
1999-04-19,1.6325,
1999-04-20,1.6374,
1999-04-21,1.6349,
1999-04-22,1.6366,
1999-04-23,1.6257,
1999-04-24,.,No value available
1999-04-25,.,No value available
1999-04-26,1.6349,
1999-04-27,1.6429,
1999-04-28,1.6324,
1999-04-29,1.6123,
1999-04-30,1.6078,
1999-05-01,.,No value available
1999-05-02,.,No value available
1999-05-03,1.5987,
1999-05-04,1.5996,
1999-05-05,1.6194,
1999-05-06,1.6107,
1999-05-07,1.6122,
1999-05-08,.,No value available
1999-05-09,.,No value available
1999-05-10,1.6012,
1999-05-11,1.5970,
1999-05-12,1.5961,
1999-05-13,1.5891,
1999-05-14,1.6051,
1999-05-15,.,No value available
1999-05-16,.,No value available
1999-05-17,1.6117,
1999-05-18,1.5896,
1999-05-19,1.6051,
1999-05-20,1.6083,
1999-05-21,1.5906,
1999-05-22,.,No value available
1999-05-23,.,No value available
1999-05-24,1.6103,
1999-05-25,1.6134,
1999-05-26,1.6205,
1999-05-27,1.6057,
1999-05-28,1.6046,
1999-05-29,.,No value available
1999-05-30,.,No value available
1999-05-31,1.6074,
1999-06-01,1.6187,
1999-06-02,1.6075,
1999-06-03,1.6082,
1999-06-04,1.5837,
1999-06-05,.,No value available
1999-06-06,.,No value available
1999-06-07,1.5621,
1999-06-08,1.5732,
1999-06-09,1.5777,
1999-06-10,1.5834,
1999-06-11,1.5796,
1999-06-12,.,No value available
1999-06-13,.,No value available
1999-06-14,1.5765,
1999-06-15,1.5735,
1999-06-16,1.5754,
1999-06-17,1.5690,
1999-06-18,1.5907,
1999-06-19,.,No value available
1999-06-20,.,No value available
1999-06-21,1.5804,
1999-06-22,1.5847,
1999-06-23,1.5689,
1999-06-24,1.5672,
1999-06-25,1.5746,
1999-06-26,.,No value available
1999-06-27,.,No value available
1999-06-28,1.5781,
1999-06-29,1.5775,
1999-06-30,1.5598,
1999-07-01,1.5336,
1999-07-02,1.5347,
1999-07-03,.,No value available
1999-07-04,.,No value available
1999-07-05,1.5370,
1999-07-06,1.5274,
1999-07-07,1.5417,
1999-07-08,1.5342,
1999-07-09,1.5289,
1999-07-10,.,No value available
1999-07-11,.,No value available
1999-07-12,1.5296,
1999-07-13,1.5391,
1999-07-14,1.5410,
1999-07-15,1.5435,
1999-07-16,1.5459,
1999-07-17,.,No value available
1999-07-18,.,No value available
1999-07-19,1.5438,
1999-07-20,1.5963,
1999-07-21,1.6235,
1999-07-22,1.6199,
1999-07-23,1.6175,
1999-07-24,.,No value available
1999-07-25,.,No value available
1999-07-26,1.6483,
1999-07-27,1.6480,
1999-07-28,1.6465,
1999-07-29,1.6455,
1999-07-30,1.6405,
1999-07-31,.,No value available
1999-08-01,.,No value available
1999-08-02,1.6441,
1999-08-03,1.6293,
1999-08-04,1.6330,
1999-08-05,1.6449,
1999-08-06,1.6459,
1999-08-07,.,No value available
1999-08-08,.,No value available
1999-08-09,1.6449,
1999-08-10,1.6476,
1999-08-11,1.6453,
1999-08-12,1.6390,
1999-08-13,1.6383,
1999-08-14,.,No value available
1999-08-15,.,No value available
1999-08-16,1.6184,
1999-08-17,1.6242,
1999-08-18,1.6351,
1999-08-19,1.6550,
1999-08-20,1.6763,
1999-08-21,.,No value available
1999-08-22,.,No value available
1999-08-23,1.6639,
1999-08-24,1.6463,
1999-08-25,1.6512,
1999-08-26,1.6539,
1999-08-27,1.6488,
1999-08-28,.,No value available
1999-08-29,.,No value available
1999-08-30,1.6501,
1999-08-31,1.6564,
1999-09-01,1.6649,
1999-09-02,1.6558,
1999-09-03,1.6556,
1999-09-04,.,No value available
1999-09-05,.,No value available
1999-09-06,1.6446,
1999-09-07,1.6392,
1999-09-08,1.6350,
1999-09-09,1.6282,
1999-09-10,1.6144,
1999-09-11,.,No value available
1999-09-12,.,No value available
1999-09-13,1.5771,
1999-09-14,1.5826,
1999-09-15,1.5985,
1999-09-16,1.6028,
1999-09-17,1.6013,
1999-09-18,.,No value available
1999-09-19,.,No value available
1999-09-20,1.6168,
1999-09-21,1.6083,
1999-09-22,1.6131,
1999-09-23,1.6124,
1999-09-24,1.6101,
1999-09-25,.,No value available
1999-09-26,.,No value available
1999-09-27,1.5917,
1999-09-28,1.6074,
1999-09-29,1.6093,
1999-09-30,1.6395,
1999-10-01,1.6307,
1999-10-02,.,No value available
1999-10-03,.,No value available
1999-10-04,1.6259,
1999-10-05,1.6053,
1999-10-06,1.6249,
1999-10-07,1.6238,
1999-10-08,1.6212,
1999-10-09,.,No value available
1999-10-10,.,No value available
1999-10-11,1.6256,
1999-10-12,1.6281,
1999-10-13,1.6395,
1999-10-14,1.6528,
1999-10-15,1.6769,
1999-10-16,.,No value available
1999-10-17,.,No value available
1999-10-18,1.6877,
1999-10-19,1.6726,
1999-10-20,1.6623,
1999-10-21,1.6631,
1999-10-22,1.6522,
1999-10-23,.,No value available
1999-10-24,.,No value available
1999-10-25,1.6419,
1999-10-26,1.6281,
1999-10-27,1.6327,
1999-10-28,1.6373,
1999-10-29,1.6361,
1999-10-30,.,No value available
1999-10-31,.,No value available
1999-11-01,1.6554,
1999-11-02,1.6393,
1999-11-03,1.6284,
1999-11-04,1.6499,
1999-11-05,1.6359,
1999-11-06,.,No value available
1999-11-07,.,No value available
1999-11-08,1.6262,
1999-11-09,1.6372,
1999-11-10,1.6249,
1999-11-11,1.6205,
1999-11-12,1.6021,
1999-11-13,.,No value available
1999-11-14,.,No value available
1999-11-15,1.5989,
1999-11-16,1.6076,
1999-11-17,1.6200,
1999-11-18,1.6230,
1999-11-19,1.6080,
1999-11-20,.,No value available
1999-11-21,.,No value available
1999-11-22,1.6152,
1999-11-23,1.6194,
1999-11-24,1.6147,
1999-11-25,1.6082,
1999-11-26,1.5855,
1999-11-27,.,No value available
1999-11-28,.,No value available
1999-11-29,1.5808,
1999-11-30,1.5918,
1999-12-01,1.5839,
1999-12-02,1.5843,
1999-12-03,1.5872,
1999-12-04,.,No value available
1999-12-05,.,No value available
1999-12-06,1.6069,
1999-12-07,1.6077,
1999-12-08,1.6061,
1999-12-09,1.5901,
1999-12-10,1.5972,
