"",BBK01.CEHD02,BBK01.CEHD02_FLAGS
"",Currency and transferable deposits debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:04,
1991-01,-9.5,
1991-04,10.7,
1991-07,-3.4,
1991-10,-13.4,
1992-01,34.6,
1992-04,7.9,
1992-07,13.2,
1992-10,4.6,
1993-01,21.7,
1993-04,26.3,
1993-07,-5.7,
1993-10,0.9,
1994-01,-33.3,
1994-04,13.8,
1994-07,-31.7,
1994-10,25.6,
1995-01,-18.8,
1995-04,1.6,
1995-07,4.9,
1995-10,25.2,
1996-01,-8.7,
1996-04,2.5,
1996-07,14.3,
1996-10,15.3,
1997-01,-1.7,
1997-04,28.3,
1997-07,-26.7,
1997-10,22.4,
1998-01,14.5,
1998-04,20.1,
1998-07,4.9,
1998-10,-13.2,
1999-01,60.8,
1999-04,-6.2,
1999-07,-12.5,
1999-10,-22.1,
2000-01,31.6,
2000-04,-0.4,
2000-07,-29.9,
2000-10,23.7,
2001-01,36.3,
2001-04,16.1,
2001-07,23.9,
2001-10,-27.2,
2002-01,-24.7,
2002-04,39.6,
2002-07,6.5,
2002-10,6.5,
2003-01,43.6,
2003-04,23.8,
2003-07,-31.7,
2003-10,-30.2,
2004-01,30.2,
2004-04,-14.0,
2004-07,20.4,
2004-10,-70.9,
2005-01,86.6,
2005-04,24.1,
2005-07,-28.8,
2005-10,-58.0,
2006-01,51.7,
2006-04,6.3,
2006-07,-4.5,
2006-10,19.0,
2007-01,39.2,
2007-04,20.9,
2007-07,18.6,
2007-10,-15.4,
2008-01,50.1,
2008-04,-24.8,
2008-07,73.3,
2008-10,69.0,
2009-01,-80.5,
2009-04,45.8,
2009-07,-66.8,
2009-10,-21.6,
2010-01,60.3,
2010-04,116.4,
2010-07,-88.8,
2010-10,2.1,
2011-01,-7.1,
2011-04,1.9,
2011-07,150.6,
2011-10,-61.0,
2012-01,263.7,
2012-04,45.2,
2012-07,-44.6,
2012-10,-124.5,
2013-01,-47.0,
2013-04,-15.4,
2013-07,-36.7,
2013-10,-62.5,
2014-01,3.5,
