"",BBDA1.M.DE.N.IM.S.A.S6.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.S6.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Other Asian countries / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:49,
1993-01,3337013,
1993-02,3736898,
1993-03,3760009,
1993-04,3715987,
1993-05,3198676,
1993-06,3532506,
1993-07,3717799,
1993-08,3897269,
1993-09,4056161,
1993-10,4032575,
1993-11,3775157,
1993-12,3832320,
1994-01,3836387,
1994-02,3915653,
1994-03,4524494,
1994-04,3421126,
1994-05,3841382,
1994-06,3499343,
1994-07,3695514,
1994-08,4057160,
1994-09,4018564,
1994-10,3897013,
1994-11,3899785,
1994-12,4380254,
1995-01,3656890,
1995-02,3876123,
1995-03,4365871,
1995-04,3523734,
1995-05,3864438,
1995-06,3986496,
1995-07,3697380,
1995-08,4092090,
1995-09,4272877,
1995-10,4454653,
1995-11,4509534,
1995-12,4060394,
1996-01,4216462,
1996-02,4150395,
1996-03,4466554,
1996-04,4153816,
1996-05,3805558,
1996-06,3811704,
1996-07,4112240,
1996-08,3926330,
1996-09,4287055,
1996-10,4339347,
1996-11,4268178,
1996-12,3747723,
1997-01,4808104,
1997-02,4289373,
1997-03,4150109,
1997-04,4763695,
1997-05,4008777,
1997-06,4387755,
1997-07,4715649,
1997-08,4481829,
1997-09,5173473,
1997-10,5382992,
1997-11,4886761,
1997-12,4614388,
1998-01,5296117,
1998-02,4818766,
1998-03,5234649,
1998-04,5239802,
1998-05,4256030,
1998-06,5063874,
1998-07,4897582,
1998-08,4641819,
1998-09,5123199,
1998-10,5349801,
1998-11,5054475,
1998-12,4867835,
1999-01,4690482,
1999-02,4767579,
1999-03,5423233,
1999-04,5060456,
1999-05,4714071,
1999-06,5018425,
1999-07,5350380,
1999-08,5106505,
1999-09,5861026,
1999-10,5762352,
1999-11,6074219,
1999-12,6049980,
2000-01,6051081,
2000-02,5951747,
2000-03,7100237,
2000-04,5986720,
2000-05,7256493,
2000-06,6647528,
2000-07,6463642,
2000-08,7152289,
2000-09,7233482,
2000-10,8256235,
2000-11,7971979,
2000-12,7103741,
2001-01,7465503,
2001-02,6549117,
2001-03,6893949,
2001-04,6656521,
2001-05,6418567,
2001-06,6045637,
2001-07,6155476,
2001-08,6419963,
2001-09,6130427,
2001-10,7023474,
2001-11,7210005,
2001-12,5817824,
2002-01,6054777,
2002-02,5838343,
2002-03,6084993,
2002-04,6490344,
2002-05,5670350,
2002-06,6015287,
2002-07,6043879,
2002-08,6370106,
2002-09,6317191,
2002-10,7264819,
2002-11,6903765,
2002-12,6142486,
2003-01,7217460,
2003-02,6270624,
2003-03,6602940,
2003-04,6479447,
2003-05,6126647,
2003-06,6329017,
2003-07,6255713,
2003-08,6041285,
2003-09,6835282,
2003-10,7692903,
2003-11,7449574,
2003-12,7013009,
2004-01,7007155,
2004-02,6983609,
2004-03,7171561,
2004-04,7518238,
2004-05,7215074,
2004-06,7328654,
2004-07,7778309,
2004-08,7749885,
2004-09,8461424,
2004-10,8916749,
2004-11,9444610,
2004-12,8204242,
2005-01,8124454,
2005-02,7214190,
2005-03,7571466,
2005-04,8072721,
2005-05,8124031,
2005-06,8406417,
2005-07,8469153,
2005-08,8630452,
2005-09,9151369,
2005-10,9421417,
2005-11,10131839,
2005-12,10909229,
2006-01,10116914,
2006-02,9597826,
2006-03,10316765,
2006-04,9497967,
2006-05,9751787,
2006-06,9542608,
2006-07,9607907,
2006-08,9644880,
2006-09,10656835,
2006-10,11155846,
2006-11,11956820,
2006-12,10800219,
2007-01,11249282,
2007-02,11247233,
2007-03,11007580,
2007-04,10127156,
2007-05,9653509,
2007-06,9805659,
2007-07,10440895,
2007-08,11553064,
2007-09,11047128,
2007-10,12047997,
2007-11,11087629,
2007-12,10700425,
2008-01,11514733,
2008-02,10681154,
2008-03,10537580,
2008-04,10361395,
2008-05,9937583,
2008-06,10131942,
2008-07,11089318,
2008-08,11032487,
2008-09,11654706,
2008-10,12585214,
2008-11,12166678,
2008-12,10949583,
2009-01,10559571,
2009-02,9769366,
2009-03,9300835,
2009-04,9176818,
2009-05,8131076,
2009-06,8730840,
2009-07,9852476,
2009-08,9420570,
2009-09,11288955,
2009-10,10795207,
2009-11,10377869,
2009-12,9913974,
2010-01,10614291,
2010-02,10273937,
2010-03,13822907,
2010-04,11510346,
2010-05,12569661,
2010-06,13931851,
2010-07,13019563,
2010-08,14176874,
2010-09,14781941,
2010-10,13922747,
2010-11,15232146,
2010-12,12789246,
2011-01,14169591,
2011-02,13155685,
2011-03,13737479,
2011-04,13074540,
2011-05,13571326,
2011-06,12867557,
2011-07,13803626,
2011-08,14489067,
2011-09,14107158,
2011-10,14468916,
2011-11,14218370,
2011-12,12577771,
2012-01,13909377,
2012-02,13653775,
2012-03,13192602,
2012-04,12155796,
2012-05,12917040,
2012-06,13333304,
2012-07,13273219,
2012-08,14394984,
2012-09,13440844,
2012-10,14359042,
2012-11,13604625,
2012-12,11503940,
2013-01,14563827,
2013-02,12251882,
2013-03,12023087,
2013-04,12701887,
2013-05,12087211,
2013-06,12047626,
2013-07,13610659,
2013-08,13291656,
2013-09,13621980,
2013-10,13602108,
2013-11,12881891,
2013-12,11355734,
2014-01,14248102,
2014-02,12377515,
2014-03,13109853,
2014-04,12281190,
2014-05,12448361,
2014-06,12997027,
2014-07,13872582,
2014-08,13930721,
2014-09,15070842,
2014-10,14779363,
2014-11,13478189,
2014-12,12931934,
